"BANCHORY, INVERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5622,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.52,2.61,4.55,2.85,4.81,1.61,3.39,
February,,,,,2.45,6.28,4.48,1.41,0.95,2.86,2.26,
March,,,,,1.37,2.28,0.59,2.49,5.35,0.46,2.04,
April,,,,,2.29,3.86,3.11,1.95,1.87,1.92,3.78,
May,,,,,5.70,4.12,2.43,2.18,1.61,2.07,1.78,
June,,,,,1.71,0.77,3.50,3.61,3.04,2.32,2.24,
July,,,,,6.57,5.10,2.02,1.60,2.49,4.17,3.04,
August,,,,,3.51,1.56,1.61,3.17,4.46,2.81,7.97,
September,,,,,5.61,2.75,4.64,5.63,2.59,0.97,6.66,
October,,,,,3.89,2.09,4.98,5.04,3.99,3.69,3.33,
November,,,,,3.05,1.95,6.62,4.27,3.29,3.75,4.82,
December,,,,,5.35,2.11,0.56,4.13,3.02,11.14,6.99,
Total,,,,,44.02,35.48,39.09,38.33,37.47,37.77,48.30,
Calc annual,0.00,0.00,0.00,0.00,44.02,35.48,39.09,38.33,37.47,37.77,48.30,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
