SELKIRK PHILIPHAUGH GARDENS,,,,,,,,,,,,
Grid ref,NT422276,Long,-2.917425,Lat,55.538678,,,,,,,
Station no,RR7378,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.92,2.48,0.94,3.88,,3.40,3.12,,
February,,,,4.63,3.52,1.46,2.05,,1.74,1.60,,
March,,,,5.50,2.20,3.66,2.14,,5.80,4.52,,
April,,,,1.58,2.66,2.78,1.02,,1.34,2.90,,
May,,,,1.58,2.62,1.76,6.08,,2.26,2.06,,
June,,,,1.07,4.02,1.34,2.30,4.10,1.40,1.62,,
July,,,,3.88,2.40,2.26,2.14,2.78,2.68,2.46,,
August,,,,3.10,3.32,3.90,5.94,3.76,2.82,1.94,,
September,,,,1.74,1.26,2.28,0.84,0.72,2.36,1.88,,
October,,,,8.25,0.96,2.76,,6.18,1.88,4.24,,
November,,,,1.89,1.60,3.94,,2.24,1.58,0.62,,
December,,,,1.76,2.58,1.54,,4.08,1.06,2.78,,
Total,,,,39.90,29.62,28.62,,,28.32,29.74,,
Calc annual,0.00,0.00,0.00,39.90,29.62,28.62,26.39,23.86,28.32,29.74,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,0.00,-0.00,,
