SELKIRK (PHILIPHAUGH),,,,,,,,,,,,
Grid ref,NT443278,Long,-2.884194,Lat,55.540720,,,,,,,
Station no,5060/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,1.89,,,,,,
February,,,,,,1.22,,,,,,
March,,,,,,1.39,,,,,,
April,,,,,,0.62,,,,,,
May,,,,,,0.92,,,,,,
June,,,,,,2.00,,,,,,
July,,,,,,3.61,,,,,,
August,,,,,,7.47,,,,,,
September,,,,,,2.05,,,,,,
October,,,,,,1.61,,,,,,
November,,,,,,0.93,,,,,,
December,,,,,,3.17,,,,,,
Total,,,,,,26.88,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.88,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
