FELTHORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG165185,Long,1.2055,Lat,52.721,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1,1.34,1.81,2.29,4.38,2.12,2.13,0.31,,,,,2.45,,,,,,,,,,,,,,,,0.92,2.62,1.58,0.53,0.14,2.37,2.03,2.15,1.66,3.04,2.14,1.49,0.86,0.83,2.43,1.95,1.03,2.05,2.09,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.77,0.46,1.17,0.69,2.77,0.64,0.92,1.81,,,,,1.75,,,,,,,,,,,,,,,,1.98,2.69,1.44,2.75,1.67,3.83,1.85,2.72,0.47,2.05,0.25,0.51,2.25,1.73,0.73,0,2.33,2.1,1.07,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.7,1.83,0.98,3.19,0.68,1.53,0.7,1.37,,,,,1.45,,,,,,,,,,,,,,,,2.54,2.25,1.05,0.59,0.85,1.5,1.66,1.96,1.44,1.14,1.46,2,2.07,1.23,3.16,1.36,0.89,0.14,0.82,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.29,2.61,2.05,2.69,0.59,3.03,0.79,0.28,,,,,1.1,,,,,,,,,,,,,,,,1.65,2.28,1.27,2.22,1.67,1.56,2.79,1.78,1.78,1.31,1.28,1.35,1.43,2.61,1,0.64,1.59,0,1.72,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.03,2.88,1.8,0.56,1.67,1.44,2.85,1.3,,,,,3.93,,,,,,,,,,,,,,,,0.68,1.83,4.58,1.84,0.74,0.6,1.6,1.19,1.06,3.04,2.67,1.54,0.36,3.65,1.18,3.57,2.46,1.06,1.76,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.06,0.1,1.05,1.08,4.7,2.26,0.87,1.35,,,,,5.66,,,,,,,,,,,,,,,,1.36,1.5,2.57,3.45,2.86,2.73,2.9,3.18,0.7,0.85,0.5,0.55,1.14,1.29,3.35,0.85,3.13,1.8,2.39,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.77,1.53,4.03,3.54,0.55,1.13,0.8,3.72,,,,,2.13,,,,,,,,,,,,,,,,2.15,3.72,0.37,4.84,5.78,1.82,2.5,3.08,2.31,1.21,4.71,1.85,4.73,3.83,4,3.6,2.76,4.21,2.87,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.21,1.15,1.46,1.84,3.57,2.76,4.38,2.22,,,,,4.34,,,,,,,,,,,,,,,,2.37,3.45,4.31,3.77,1.77,3.46,1.53,0.88,0.97,0.92,2.53,3.27,2.31,3.32,2.72,5.24,1.99,1.67,2.26,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.86,2.09,1.85,1.28,4.51,1.75,0.61,0.3,,,,,2.62,,,,,,,,,,,,,,,,5.61,2.12,2.33,3.13,3.04,2.13,2.19,3.37,3.01,4.71,1.53,2.51,1.52,3.19,0.9,1.25,1.97,0.69,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,5.47,4.01,2.18,3.24,3.75,2.78,2.53,4.23,,,,,2.07,,,,,,,,,,,,,,,,1.67,2.08,2.57,1.28,5.51,3.42,5.98,3.64,3.21,7.18,2.86,2.88,2.08,2.69,1.66,4.4,7.8,2.76,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
