EXETER-HIGH-ST-(10-INCH-GAUGE-ROOF-ALT-148+44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX919926,Long,-3.5322,Lat,50.7232,Elevation,192,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,3.2,0.1,3.8,2.5,0.5,2.8,3.98,0.89,3.04,3.29,2.69,4.12,5.57,5.42,3.16,5.11,2.35,3.28,5.67,5.45,2.84,4.93,,5.53,1.39,
February,,,,,0.6,2.4,2.94,2.5,1.6,3.4,0.87,3.17,1.03,0.46,1.15,4.09,3.56,2.02,1.79,2.01,2.63,2.22,4.3,3.61,3.73,2.25,,1.11,1.78,
March,,,,,0.3,2.5,2.16,4.1,2,3.2,2.7,3.08,4.11,2.31,3.13,1.55,4.94,5.72,1.78,,1.86,1.1,3,3.62,0.31,1.17,,2.77,1.21,
April,,,,,0.2,0.9,3.23,,6,2.9,1.74,0.78,2.72,1.55,1.53,0.57,2.19,2.35,2.12,,0.29,4.39,2.24,0.96,1.72,1.6,,6.5,3.5,
May,,,,,2.4,3.5,2.57,2.2,2.9,1.3,2.88,1.02,0.85,1.41,1.57,3.12,1.87,4.17,1.15,,1.39,0.21,2.42,1.81,0.86,2.26,,3.11,3.82,
June,,,,,2.3,3.6,0.8,1.7,1.2,1.4,6.92,2.79,2.11,3.62,1.03,1.26,1.3,1,0.64,0.41,0.13,1.41,2.63,1.03,2.03,2.48,,0.71,2.73,
July,,,,,2.7,3.7,1.24,1.9,2.5,1,1.63,4.12,1.9,1.13,0.55,2.01,0.86,3.33,0.44,0.34,0.49,4.11,3.63,1.68,1.08,3.67,,2.86,1.98,
August,,,,,1.3,2.1,2.92,0.2,0.9,3.5,3.55,1.05,2.13,3.37,1.33,4.16,2.02,0.88,4.67,0.35,1.16,0.94,1.39,5.1,2.69,2.02,,3.57,3.12,
September,,,,,0.7,0.8,2.46,1.3,3.1,2.7,1.65,2.04,2.67,2.44,2.44,0.03,6.81,2.29,4.07,4.28,1.34,6.11,2.25,2.18,5.24,3.76,,2.26,1.66,
October,,,,,3.5,5,2.43,6.2,2.9,4.7,1.22,1.97,4.58,6.07,1.85,6.11,3.19,2.88,2.03,3.29,4.33,4.06,4.09,1.45,5.16,,,1.52,3.88,
November,,,,,1.8,1.2,1.02,2.1,3.8,4.4,3.6,4,0.81,2.02,2.75,3.98,1.68,0.67,3.74,1.87,2.62,1.34,4.4,3.93,3.16,5.06,,5.44,2.61,
December,,,,,1.7,3.5,3.51,1.1,4.8,2.8,5.52,3.01,1.8,1.92,3.2,3.9,2.49,1.1,6.38,4.24,2.34,2.32,5.76,0.35,3.77,0.82,,1.61,2.87,
Total,,,,,20.7,29.3,29.08,,32.2,34.1,36.26,27.92,27.75,29.59,23.22,34.9,36.48,31.83,31.97,,20.93,31.49,41.78,31.17,32.59,,,36.99,30.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 High Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge marked as 44.3ft above ground level – as buildings all around assume it was on roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Taken from different sheet – has values for all months to 2 decimal places,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note says Easton has total for 1857 as 29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869 Mar-May Gauge leaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Gauge overflowed on the 19th of Oct – value taken from INSTITUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876 Gauge being repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
