EXETER-HIGH-ST-(5-INCH-GAUGE-ROOF-ALT-148+47),,,,,,,,,,,,,,,,,,,,
Grid ref,SX919926,Long,-3.5322,Lat,50.7232,Elevation,195,ft,,,,,,,,,,,,
Station no,RR3043,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.75,4.25,5.63,5.52,3.24,5.02,2.37,3.37,5.94,5.6,3.4,4.7,0.47,5.68,1.34,
February,,,,,1.18,4.15,3.57,2.02,1.83,1.98,2.81,2.29,4.49,3.5,3.94,2.4,3.06,1.04,1.82,
March,,,,,3.06,1.66,4.95,5.66,1.85,1.77,1.91,1.13,3.02,3.89,0.25,1.2,3.31,2.7,1.1,
April,,,,,1.5,0.57,2.22,2.36,2.17,0.64,0.27,4.44,2.3,0.98,1.73,1.57,2.93,6.58,3.34,
May,,,,,1.52,3.16,2.03,4.24,1.18,5.66,1.39,0.2,2.35,1.86,0.79,2.22,0.6,3.03,3.63,
June,,,,,1.02,1.3,1.25,1.02,0.63,0.41,0.11,1.37,2.62,1,2.02,2.39,0.65,0.64,2.57,
July,,,,,0.55,1.98,0.79,3.23,0.41,0.33,0.47,4.06,3.82,1.71,1.07,3.74,0.5,2.81,1.89,
August,,,,,1.34,4.1,1.91,0.93,4.79,0.36,1.05,0.92,1.59,5.1,2.68,1.96,3.3,3.48,2.87,
September,,,,,2.46,0.02,6.91,2.26,4.09,4.34,1.31,6.4,2.56,2.19,5.33,3.7,6.84,2.2,1.63,
October,,,,,1.86,6.18,3.24,2.93,2.12,3.29,4.31,4.09,4.24,1.43,5.32,,3.66,1.42,3.71,
November,,,,,2.85,4.07,1.71,0.71,3.9,1.92,2.6,1.3,4.53,4.27,3.24,5.23,4.77,5.36,2.49,
December,,,,,3.41,4.06,2.57,1.16,6.57,4.21,2.35,2.36,6.03,0.4,3.97,0.78,9.66,1.57,2.69,
Total,,,,,23.5,35.5,36.78,32.04,32.78,29.93,20.95,31.93,43.49,31.93,33.74,,39.75,36.51,29.08,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
200 High Street,,,,,,,,,,,,,,,,,,,,
Gauge marked as 47.11ft above ground – as buildings all around assume it was on roof,,,,,,,,,,,,,,,,,,,,
