MIDDLESMOOR-STEAN-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE069739,Long,-1.8958278,Lat,54.160863,Elevation,1006,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.58,10.17,2.72,6.21,4.67,4.94,2.12,6.55,7.72,9.12,5.73,,,,,,,,,,,
February,,,,,,,,,,0.95,1.03,5.55,0.42,7.83,0.24,10.72,2.51,6.5,2.62,6.53,,,,,,,,,,,
March,,,,,,,,,,0.93,2.8,0.43,3.5,3.96,3.67,1.84,3.16,3.67,1.63,2.84,,,,,,,,,,,
April,,,,,,,,,,2.51,3.77,3.79,5.64,2.64,3.96,3.7,1.31,2.84,0.34,1.91,,,,,,,,,,,
May,,,,,,,,,,4.05,1.81,4.41,5.07,3.02,4.59,0.89,1.56,2.58,2.43,1.1,,,,,,,,,,,
June,,,,,,,,,,1.99,2.48,6.64,1.94,2.74,2.48,4.83,4.53,1.82,3.08,3.54,,,,,,,,,,,
July,,,,,,,,,,2.93,5.99,4.1,5.01,3.11,1.33,1.74,3.37,1.9,3.18,3.84,,,,,,,,,,,
August,,,,,,,,,,5.05,6.91,4.63,1.62,0.85,3.32,1.6,2.9,2.28,3.42,2.13,,,,,,,,,,,
September,,,,,,,,,,1.78,6.08,4.36,5.94,2.43,3.71,9.36,3.38,2.07,1.67,1.77,,,,,,,,,,,
October,,,,,,,,,,6.29,9.29,2.5,5.78,4.33,8.37,10.95,5.97,2.17,12.71,2.7,,,,,,,,,,,
November,,,,,,,,,,8.34,6.98,7.72,6.1,3.39,2.64,8.25,5.73,1.67,6.66,7.17,,,,,,,,,,,
December,,,,,,,,,,12.62,4.55,3.67,4.21,0.46,8.99,2.94,6.07,2.71,5.17,1.29,,,,,,,,,,,
Total,,,,,,,,,,49.02,61.86,50.52,51.44,39.43,48.24,58.94,47.04,37.93,52.03,40.55,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on the edge of Stean Moor aprroximately matching relationships to station and church at the about the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relationships differ on the records as do the altitudes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannot link the observer, Sir F A Aykroyd with this area, he owned Birstwith Hall 13 miles SE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR could be up to 3 km SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If NGR is correct then  500m from NIDDERDALE-HIGH-RIGGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940s record sheet is blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
