BURGESS-HILL-DONISTHORPE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ317187,Long,-0.12638363,Lat,50.952694,Elevation,190,ft,,,,,,,,,,,,,
Station no,495,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.56,1.38,4.78,3.13,3.89,,,,,,,,
February,,,,,,,,,1.53,1.07,1.27,2.26,0.36,,,,,,,,
March,,,,,,,,,2.21,0.03,1.79,0.5,1.62,,,,,,,,
April,,,,,,,,,2.81,0.7,2.16,3.38,2.45,,,,,,,,
May,,,,,,,,1.05,1.32,2.14,2.09,2.61,3.65,,,,,,,,
June,,,,,,,,4.24,2.14,1.83,0.9,1.77,1.61,,,,,,,,
July,,,,,,,,1.8,1.67,1.6,2.66,3.35,3.51,,,,,,,,
August,,,,,,,,4.66,1.97,2.54,5.17,3.04,0.61,,,,,,,,
September,,,,,,,,5.87,0.79,0.95,3.58,1.98,3.15,,,,,,,,
October,,,,,,,,2.35,8.26,4.76,2.43,0.51,7.73,,,,,,,,
November,,,,,,,,3.84,4.04,9.97,5.52,4.69,1.7,,,,,,,,
December,,,,,,,,4.51,3.49,8.32,3.61,1.31,0.91,,,,,,,,
Total,,,,,,,,,34.79,35.29,35.96,28.53,31.19,,,,,,,,
