ST ANDREWS FEDDINCH MAINS,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 48920 13931,Long,-2.827315,Lat,56.315012,Elevation,300,ft,,,,,,,,,,,,
Station no,RR8263,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.15,3.94,3.39,,2.25,1.18,4.46,2.94,2.92,,,,,
February,,,,,,,2.9,1.32,3.06,,1.56,3.45,5.03,0.31,1.27,,,,,
March,,,,,,,2.35,0.98,2.07,,1.14,1.01,3.13,3.54,1.23,,,,,
April,,,,,,,1.6,2.2,3.41,,0.35,5.2,2.17,0.22,1.6,,,,,
May,,,,,,,1.25,4.55,1.65,,1.71,1.16,3.57,3.65,2.18,,,,,
June,,,,,,,1.3,1.35,0.6,,1.72,1.81,3.57,1.23,0.53,,,,,
July,,,,,,,2.7,6.95,0.43,,1.65,3.36,2.24,4.48,1.96,,,,,
August,,,,,,,3.62,1.82,3.69,,0.93,2.32,2.77,3.73,4.21,,,,,
September,,,,,,,3.3,2.11,5.3,,3.32,1.95,4.79,3.23,3.19,,,,,
October,,,,,,,2.69,2.59,2.8,,5.36,3.14,4.46,1.38,2.81,,,,,
November,,,,,,,2.19,0.31,3,,1.68,3.11,4.9,2.87,1.81,,,,,
December,,,,,,,2.86,0.6,6.86,,3.12,1.44,4.78,1.02,0.77,,,,,
Total,,,,,,,29.91,28.72,36.26,,24.79,29.13,45.87,28.6,24.48,,,,,
,,,,,,,,,,,,,,,,,,,,
1867 May New g,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8263,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
