CHELTENHAM-SUFFOLK-SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO944216,Long,-2.0827826,Lat,51.892922,Elevation,227,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.42,3.65,,,,2.95,1.55,2.83,2.63,3.55,0.78,4.24,,2.06,2.06,1.69,0.59,,,,,
February,,,,,,,,,,2.51,0.75,,,,0.51,3.7,1.52,2.75,1.69,0.43,0.26,,0.26,3.04,0.42,1.6,,,,,
March,,,,,,,,,,3.8,3.08,,,,0.76,0.37,0.22,2.66,2.09,0.05,1.57,0.17,1.32,2.09,2.17,0.47,,,,,
April,,,,,,,,,,2.27,3.96,,,,2.04,1.61,3.5,1.62,0.73,0.79,,2.21,2.35,1.2,2.45,4.03,,,,,
May,,,,,,,,,,1.26,1.18,,,,7.03,2.32,2.59,1.22,0.73,1.43,,,5.72,2.06,,0.98,,,,,
June,,,,,,,,,,1.38,2.64,,,,1.92,0.04,1.74,2.7,2.46,1.28,,,0.97,2.1,,2.7,,,,,
July,,,,,,,,,,3.33,4.72,0.3,,,3.84,2.36,2.37,2.99,1.61,1.81,3.48,3.54,1.67,,1.87,,,,,,
August,,,,,,,,,,2.25,1.13,2.44,,,3.32,1.95,1.47,4.28,2.55,,2.23,3.66,1.29,,1.73,1.28,,,,,
September,,,,,,,,,,1.63,2.47,1.58,,,4.17,3.21,1.13,4.21,0.76,,2.65,2.12,2.61,2.48,1.6,3.32,,,,,
October,,,,,,,,,,1.88,1.74,1.13,,,3.75,2.33,2.62,1.11,4.61,3.98,1.63,0.63,3.71,3.61,0.89,4.22,,,,,
November,,,,,,,,,,1.22,0.61,2.03,,,2.25,1.54,6.63,2.04,2.2,7.35,2.87,3.44,1.47,0.71,1.65,5.03,,,,,
December,,,,,,,,,,3.23,,1.42,,,2.66,1.97,0.48,2.75,2.09,6.06,2.69,0.87,0.98,0.39,4.47,3.98,,,,,
Total,,,,,,,,,,28.18,,,,,35.2,22.95,27.1,30.96,25.07,,,,24.41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Apr May Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan Feb May Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 May Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
