CAVERSHAM-KIDMORE-GRANGE,,,,,,,,,,
Grid ref,SU719775,Long,-0.96576066,Lat,51.491884,Elevation,305,ft,,
Station no,RR8120,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.61,,1.63,2.28,2.2,0.6,1.97,0.78,
February,,0,,3.17,1.74,0.15,0.44,2.91,1.5,
March,,1.61,,0.14,1.26,1.55,3.2,3.4,0.91,
April,,0.92,,0.04,1.4,1.3,0.55,1.43,1.7,
May,,2.4,,1.3,2,0.4,0.3,0.9,1.84,
June,,1.2,,0.67,2.5,0.4,2.6,1.52,1.48,
July,,2.64,,3.1,2.92,3.7,0.72,1.91,0.2,
August,,4.53,,0.67,2.96,2.65,2.49,3.13,0.41,
September,,1.17,,0.93,2.22,1.15,6.96,2.13,1.19,
October,,7.9,,3.45,4.14,3.3,2.07,1.23,1.62,
November,,2.09,,2.1,4.78,4,0.84,0.94,2.45,
December,,4.16,,2.2,2.36,2.6,3.6,3.03,2.42,
Total,,30.23,92,19.4,30.56,23.4,24.37,24.5,16.5,
