WESTWARD-HO-BELLEVUE(OLD-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS433285,Long,-4.23521,Lat,51.03467,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,4.38,3.72,1.65,5.43,1.31,1.5,2.03,3.84,1.22,3.08,4.95,1.66,3.58,1.47,1.42,4.84,3.52,4.46,4.12,3.58,2.23,,,,,,,
February,,,,1.54,4.59,1.14,3.35,1.3,2.29,0.37,4.36,1.54,2.11,1.34,3.51,5.59,6.04,1.02,1.93,3.09,1.41,0.34,4.15,6.6,,,,,,,
March,,,,4.97,1.19,3.49,1.45,0.87,3.01,3.42,0.67,1.97,5.37,4.71,5.47,0.66,2.45,2.31,1.36,3.82,3.62,2.31,3.61,,,,,,,,
April,,,,1.7,1.1,1.93,1.21,4,1.79,2.1,2.06,1.78,0.22,4.16,1.78,1.18,0.92,2.14,1.59,2.41,4.03,0.82,3.73,,,,,,,,
May,,,,3.24,2.03,0.11,2.99,2.3,1.7,1.21,1.8,0.92,1.49,2.24,1.3,3.17,1.81,1.78,1.04,1.04,1.9,1.28,1.34,,,,,,,,
June,,,,1.15,1.01,2.91,1.21,2.45,1.19,1.24,2.37,2.7,5.73,1.67,1.89,1.32,1.78,4.71,1.02,1.39,1.88,0.19,1.29,,,,,,,,
July,,,,2.89,4.33,1.14,1.21,1.19,1.82,1.59,2.42,0.31,2.48,0.43,4.29,4.41,0.99,2.61,4.22,1.1,3.91,1.16,2.26,,,,,,,,
August,,,,3.46,2.67,3.97,2.1,2,2.84,1.75,4.23,2.69,7.64,1.24,3.39,1.44,2.51,4.66,2.62,2.23,1.74,2.83,4.09,,,,,,,,
September,,,,3.71,2.27,1.43,1.64,0.68,1.63,2.55,0.15,2.75,0.64,1.76,2.35,1.14,2.26,2.21,7.72,1.56,3.52,2.21,2.71,,,,,,,,
October,,,,9.88,2.13,2.69,3.74,5.04,1.35,5.4,5.21,3.26,4.39,3.64,2.74,3.61,5.3,6.61,2.17,1.33,5.44,1.49,1.27,,,,,,,,
November,,,,2.27,3.57,4.08,3.44,2.72,1.75,1.68,5.08,4.76,2.74,4.62,3.82,2.35,3.63,2.62,3.72,4.17,2.2,3.17,1.79,,,,,,,,
December,,,,3.22,3.33,1.5,2.93,4.54,3.88,4.62,4.8,6.77,5.55,3.2,6.41,6.83,3.29,0.92,4.92,6.21,3.23,2.47,6.19,,,,,,,,
Total,,,,42.41,31.94,26.04,30.7,28.4,24.75,27.96,36.99,30.67,41.44,33.96,38.61,35.28,32.45,33.01,37.15,31.87,37.34,22.39,36.01,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Mar 15 Gauge moved 15yds Old gauge which had been in use for 20yrs replaced. Comparisons for 6 months showed slightly larger values Old gauge too sheltered by shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data continuous so don't know where comparison values are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
