STONYHURST COLLEGE OBSERVATORY - MXTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD692388,Long,-2.469602,Lat,53.844522,Elevation,377,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,1.9,7.39,3.7,5.9,8.1,4.7,3.6,1.2,2.6,3.8,3.8,3.8,4.9,1,3.9,6,3.1,3.9,6,4.3,3.6,3.7,4.11,1.73,5.56,6.17,5.26,5.13,3.09,6.1,5.13,1.53
February,,,,,,,,,9.35,3.94,5.6,3.3,7.7,1.2,4.1,0.9,5.8,2.7,0.3,3.7,1.7,3.8,1.2,2.6,4.4,3.3,4.9,4.2,4.2,8.8,1.61,4.55,4.58,0.82,1.78,1.4,6,5.36,2.12,2.7
March,,,,,,,,,3.67,1.23,2,3.4,0.4,1.6,1.8,2.9,0.5,3,2.8,6.2,5.8,6.5,4.6,2.2,3.5,2.2,2.4,1.4,6.1,1.4,2.92,1.97,4.75,3.4,6.45,1.25,4.61,4.37,2.69,2.51
April,,,,,,,,,2.3,1.43,3.9,1.1,0.4,3.5,1,2.6,2.7,2,3.8,4,1.6,1.3,4.3,2.4,1.7,2.1,1,5.6,2.2,2.8,2.64,3.6,3.68,0.82,1.81,1.59,2.68,2.76,1.58,1.56
May,,,,,,,,,1.8,2,1.7,1.4,2.7,0.3,2.6,1.9,3.1,2.4,3.4,0.3,4,1.3,5,3.7,2.8,4.9,2,2,1.5,3.4,1.95,1.8,3.2,2.85,1.84,2.92,0.64,2.77,4.66,2.38
June,,,,,,,,,7.5,2.37,3.4,5.4,3.6,4.4,2.8,4.8,5.4,6.6,1.8,2.9,6.1,2.2,4.7,4.8,4.9,0.7,4.7,2,0.7,2,2.23,3.36,5.04,4.01,2.05,4.47,4.6,2.88,3.37,4.79
July,,,,,,,,,,7.5,3.5,5.4,3.5,6.9,2.5,4.7,3.4,4.1,3.8,1.8,1.7,5,5.2,1.9,2.2,3,5.9,5.1,0.7,1.1,2.27,8.08,4.49,4.81,3.04,5.69,5.33,4.96,1.14,6.79
August,,,,,,,,,,6.72,5.7,5.6,5.4,2.9,4.2,3.1,4.9,4.1,3.4,6,6.1,6,4.7,5.4,3.1,5.5,5.8,3.3,4.3,3.9,2.87,2.07,5.57,6.38,7.21,3.76,4.31,6.66,7.05,7.71
September,,,,,,,,,3.62,4.49,2.5,2.2,4.4,4,4.7,1.6,3.9,2.8,5.8,7.3,3.3,5.5,3.5,7.6,4.2,1,9.2,4.7,2.4,9.6,3.99,4.2,8.85,2.82,5.56,5.88,5.38,4.48,6.33,3.4
October,,,,,,,,,5.19,4.53,4.8,6.2,5.8,3.9,4,9,1.4,2.1,6.1,3.3,7.3,2.8,7.6,6.1,2.3,6.4,2.8,5.1,6.5,4,13.36,6.58,6,8.68,6.9,3.78,3.04,6.51,5.45,4.15
November,,,,,,,,,4.8,5.76,7.1,2.3,6.3,3.1,4.6,1.1,2.3,1.7,2.4,2.8,2.7,8.2,2.5,7.3,4.8,3.8,8.9,2.1,3.8,8,3.52,2.08,4.7,3.87,5.35,5.81,2.18,6.45,3.8,1.32
December,,,,,,,,,4.05,3.3,3.7,2.2,8.2,0.8,8.3,1.8,6.1,4,4.6,2.9,3.3,2.8,4.8,5.2,2.8,1.6,8,4.9,8.5,5.8,4.09,3.89,4.09,2.4,3.95,2.58,5.39,6.64,2.04,3.56
Total,,,,,,,,,,50.66,47.6,44.4,56.5,37.3,44.2,35.6,42.1,39.3,42,45,48.5,46.4,52,55.2,39.8,38.4,61.6,44.7,44.5,54.5,45.56,43.91,60.51,47.03,51.2,44.26,47.25,59.94,45.36,42.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"comprises a  mixture of sheets, some duplication, from other records. Not clear that it is one gauge or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other files for Stonyhurst are known gauges and reliable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848 incomplete year so no total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
