EARLS-COLNE,,,,,,,,,,
Grid ref,TL854290,Long,0.69509852,Lat,51.928633,Elevation,185,ft,,
Station no,RR7404,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,2.43,2.7,,
February,,,,,,,3.2,1.2,,
March,,,,,,1.65,1.57,2.46,,
April,,,,,,0.24,1.46,1.78,,
May,,,,,,1.03,1.43,3.32,,
June,,,,,,1.72,-999,0.64,,
July,,,,,,2.93,-999,2.05,,
August,,,,,,4.32,2.58,1.8,,
September,,,,,,0.09,3.04,1.61,,
October,,,,,,5.31,0.53,1.96,,
November,,,,,,1.93,2.34,0.71,,
December,,,,,,1.19,2.14,2.15,,
Total,,,,,,,24.99,22.38,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1866 Jun Jul -999 (4.27),,,,,,,,,,
