STRATHMORE LODGE,,,,,,,,,,,,
Grid ref,NH124412,Long,-5.125850,Lat,57.422309,,,,,,,
Station no,5767/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.42,6.78,9.68,8.60,2.70,,,9.81,5.74,,,
February,4.31,5.55,6.19,4.10,4.78,,,6.85,4.39,,,
March,4.26,4.24,3.34,5.05,3.89,,,3.32,5.13,,,
April,7.37,2.81,5.99,3.78,4.81,,,8.45,6.57,,,
May,1.33,3.99,3.19,4.95,,,,7.64,4.29,,,
June,2.34,4.80,0.80,3.75,,,,3.13,3.15,,,
July,4.96,3.65,4.15,4.07,,,4.89,3.27,6.65,,,
August,4.71,6.46,4.37,6.46,,,8.97,6.60,6.47,,,
September,4.68,8.46,5.03,6.72,,,7.78,5.24,4.26,,,
October,2.86,10.55,3.29,13.36,,,10.67,9.33,8.20,,,
November,9.65,,5.45,7.93,,,3.89,2.09,5.18,,,
December,14.51,,7.17,13.57,,,11.67,7.47,5.04,,,
Total,68.40,,58.65,82.34,,,,73.20,65.07,,,
Calc annual,68.40,57.29,58.65,82.34,16.18,0.00,47.87,73.20,65.07,0.00,,
Difference,0.00,NaN,-0.00,0.00,NaN,NaN,NaN,0.00,0.00,NaN,,
