BRIGHTON-WW-BALSDEAN-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ378046,Long,-0.04448,Lat,50.82519,Elevation,188,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,486/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.24,4.46,5.85,2.38,3.8,3.08,6.24,2.33,2.11,2.57,2.01,4.85,1.1,1.45,4.24,2.87,1.4,1.79,3.64,5.6,2.09,4.59,3.79,2.73
February,,,,,,,5.62,0.74,1.78,2.38,3.46,0.54,1.55,1.15,2.19,3.29,1.98,1.57,1.02,5.2,6.23,0.99,1.27,3.22,1.6,0.11,4.73,2.92,0.03,2.8
March,,,,,,,3.08,0.79,1.48,3.21,2.71,3.58,0.5,0.11,1.69,1.49,6.52,1.08,1.24,1.57,4.24,3.01,0.31,3.79,0.82,0.37,1.64,2.14,1.58,2.2
April,,,,,,,3.1,0.37,2.89,1.3,1.34,0.91,1.68,1.54,1.19,2.06,1.86,1.16,1.54,2.31,2.11,1.74,2.29,0.54,0.47,1.38,0.19,1.18,2.28,1.09
May,,,,,,,3.31,2.89,0.91,1.67,1.93,2.44,2.21,0.4,2.46,2.87,1.34,2.09,1.86,0.96,2.29,1.57,1.24,1.76,3.85,0.47,1.16,2.64,0.54,1.72
June,,,,,,,1.37,0.59,1.37,0.15,2.24,0.27,1.91,1.35,2.56,2.67,2.99,1.6,0.6,0.58,1.83,1.02,1.08,3.06,1.73,1.99,2.04,3.55,2.07,1.79
July,,,,,,,1.63,1.53,2.87,2.87,2.61,2.49,2.77,2.21,4.84,2.02,2.36,2.18,0.27,2.69,2.08,1.26,3.31,5,0.77,2.84,4.14,2.7,1.65,3.18
August,,,,,,,1.64,1.48,1.57,0.13,4.76,3.77,1.5,2.55,1.25,7.3,0.26,5.57,1.1,3.5,4.77,2.6,1.94,3.25,2.34,3.66,2.61,5.47,1.19,8.08
September,,,,,,,2.66,2.71,0.45,2.3,0.73,3.33,2.54,2.8,2.01,3.56,2.46,1.96,2.08,3.39,4.39,4.14,4.32,3.45,3.01,3.34,4.45,3.58,0.2,3.9
October,,,,,,,3.5,4.68,7.39,3.51,1.24,3.49,3.27,4.91,3.51,0.81,0.83,2.49,8.27,1.27,2.04,3.86,3.23,3.8,3.72,1.7,1.82,4.15,3.02,8.17
November,,,,,,,2.1,3.97,7.56,8.46,4.67,1.37,2.98,5.42,0.5,3.93,1.89,2.78,4.4,6.77,6.06,4.12,2.33,5.77,1.28,0.72,3.16,3.09,4.68,7.19
December,,,,,,,4.55,3.17,1.99,3.29,2.06,3.35,2.11,1.82,3.8,3.5,2.73,2.97,1.99,2.28,3.16,4.47,0.9,2.9,4.21,4.56,1.8,4.68,7.48,4.36
Total,,,,,,,37.8,27.38,36.11,31.65,31.55,28.62,29.26,26.59,28.11,36.07,27.23,30.3,25.47,31.97,43.44,31.65,23.62,38.33,27.44,26.74,29.83,40.69,28.51,47.21
