WANDSWORTH-CLAPHAM-COMMON-THE-CHASE,,,,,,,,,,,,,,,,,,,
Grid ref,TQ287756,Long,-0.14783,Lat,51.46542,Elevation,70,ft,,,,,,,,,,,
Station no,RR8085,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,,,,,,1.1,3.71,0.68,1.3,1.09,1.44,1.08,3.03,2.42,0.49,3.92,1.04,1.1,2.89
February,,,,,2.88,0.45,1.59,0.79,1.05,0.81,2.71,1.28,1.41,0.76,2.17,3.11,3.35,0.62,0.74
March,,,,,-999,3.86,0.65,1.14,2.16,2.9,0.85,1.58,2.19,2.23,3.76,0.59,3.71,1.48,0.79
April,,,,,-999,1.27,0.4,2.85,1.79,1.38,1.39,1.37,0,2.5,0.78,1.24,0.88,2.25,3.26
May,,,,,1.62,0.91,1.42,1.88,1.74,0.91,1.6,1.51,1.12,1.36,1.29,2.69,2.02,3.05,1.83
June,,,,,1.6,3.48,2.55,3.21,2.38,2.89,2.32,2.16,2.33,0.27,1.72,0.17,1.52,1.91,0.91
July,,,,,2.38,1.08,0.52,0.9,3.32,3.27,3.37,0.86,2.21,1.65,1.5,3.79,1.2,4.36,6.51
August,,,,,2.8,4.12,0.81,1.46,2.83,-999,2.15,1.41,4.62,1.53,1.27,2.28,3.9,2.91,
September,,,,,1.11,1.35,1.78,0.7,0.84,-999,0.54,1.47,2.22,1.51,0.62,1.87,1.37,2.47,
October,,,,,1.59,0.74,2.17,2.73,2.34,2.61,1.93,2.73,2,2.99,1.14,1.6,2.96,2.85,
November,,,,,1.33,3.32,2.21,2.07,0.45,0.77,3.06,2.85,1.49,1.97,2.84,2.87,4.09,1.36,
December,,,,,2.1,0.62,1.64,2.61,1.77,2.15,3.12,3.97,2.42,0.8,6.16,4.89,2.44,0.93,
Total,,,,,,22.3,19.45,21.02,21.97,22.29,24.48,22.27,25.04,19.99,23.74,29.02,28.48,25.29,
,,,,,,,,,,,,,,,,,,,
1904 Mar Apr Bracketed Combined total 3.4,,,,,,,,,,,,,,,,,,,
1907 Dec Gauge moved 22ft W,,,,,,,,,,,,,,,,,,,
1909 Aug Sept Bracketed Combined total 3.51,,,,,,,,,,,,,,,,,,,
1918 Aug 27 Gauge moved 0.75 miles E to Bromfelde Rd,,,,,,,,,,,,,,,,,,,
