WANDSWORTH-CLAPHAM-COMMON-THE-CHASE-(BROMFELDE-ROAD),,,,,,,,,,,,,
Grid ref,TQ298760,Long,-0.13154,Lat,51.46867,Elevation,46,ft,,,,,
Station no,RR8086,,,,,,,,,,,,
,,,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.45,2.12,1.57,2.15,0.97,2.63,1.41,2.27,1.4,,,
February,,2.21,0.48,0.2,1.78,2.88,0.48,2.45,2.69,3.29,,,
March,,3.35,1.15,0.71,1.44,1.92,0.71,0.52,0.13,2.1,,,
April,,2.74,2.27,1.21,2.87,1.18,3.4,1.45,2.74,1.91,,,
May,,0.23,0.56,1.29,0.93,1.6,2.56,1.29,1.28,1.12,,,
June,,1.3,1.7,0.18,1.32,0.39,2.49,0.08,2.79,2.29,,,
July,,2.55,3.24,0.09,3.05,2.26,3.21,3.39,1.28,2.41,,,
August,,2.03,1.75,0.64,2.12,2.13,1.9,2.23,1.53,4.36,,,
September,4.31,0.99,3.3,2.04,1.93,1.75,2.19,1.47,1.09,3.96,,,
October,1.27,0.63,1.02,0.8,0.79,4.47,3.47,2.28,2.09,1.11,,,
November,2,0.81,0.92,1.75,1.08,1.34,2.21,1.54,4.26,2.1,,,
December,2.06,3.24,1.99,1.26,2.65,1.75,2.53,2.23,0.28,3.41,,,
Total,,22.53,20.5,11.74,22.11,22.64,27.78,20.34,22.43,29.46,,,
,,,,,,,,,,,,,
1918 Aug 27 Gauge moved 0.75 miles E to 70 Bromfelde Rd,,,,,,,,,,,,,
