"BUCHLYVIE THE MANSE",,,,,,,,,,,,
Grid ref,NS572935,Long,-4.298087,Lat,56.112837,,,,,,,
Station no,RR1568,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.16,3.38,4.73,11.05,5.48,3.09,8.05,4.51,6.42,7.16,,
February,4.64,1.34,1.81,10.20,4.85,4.27,4.13,5.22,3.46,2.38,,
March,1.03,2.60,3.48,10.25,2.96,5.01,4.59,5.20,4.91,2.60,,
April,3.38,3.29,1.95,1.94,6.77,3.34,1.93,3.40,1.37,5.08,,
May,3.65,2.60,2.48,3.02,4.12,2.57,4.80,4.72,3.67,4.08,,
June,4.74,4.05,2.02,3.30,2.49,1.17,1.62,4.88,2.75,2.68,,
July,3.99,3.21,3.37,5.00,3.31,3.15,2.98,3.00,3.85,4.10,,
August,4.63,3.71,4.70,7.55,6.13,6.51,5.62,6.39,4.88,3.78,,
September,4.06,3.91,3.82,4.09,5.39,3.51,2.23,2.40,7.59,2.03,,
October,6.78,5.04,3.49,9.55,3.03,3.59,7.47,6.68,1.60,8.93,,
November,7.52,3.74,4.15,3.37,2.38,5.64,5.82,3.48,4.06,2.79,,
December,9.35,5.86,6.94,5.44,6.18,5.72,4.10,7.65,5.73,8.36,,
Total,60.93,42.73,42.94,74.76,53.09,47.57,53.34,57.53,50.29,53.97,,
Calc annual,60.93,42.73,42.94,74.76,53.09,47.57,53.34,57.53,50.29,53.97,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
