BUCHLYVIE THE MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS572935,Long,-4.298087,Lat,56.112837,Elevation,,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.43,9.86,3.97,4.33,3.04,8.99,2.09,3.02,1.93,5.17,8.13,7.16,3.38,4.73,11.05,5.48,3.09,8.05,4.51,6.42,7.16,7.19,5.22,4.06,5.53,3.37,2.72,7.71,,6.2,
February,,,,,,,,,,3.89,1.32,1.23,3.05,6.4,13.21,0.6,3.08,4.32,4.95,3.32,4.64,1.34,1.81,10.2,4.85,4.27,4.13,5.22,3.46,2.38,6.5,8.68,4.58,3.7,4.54,5.89,5.55,,7.46,
March,,,,,,,,,,2.28,3.79,3.56,1.34,2.01,4.66,3.03,5.33,6.18,2.05,4.96,1.03,2.6,3.48,10.25,2.96,5.01,4.59,5.2,4.91,2.6,3.04,2.38,5.75,6.82,3.99,2.26,2.15,,1.82,
April,,,,,,,,,,3.96,1.58,2.12,0.9,1.42,1.54,3.05,2.71,2.6,4.72,4.43,3.38,3.29,1.95,1.94,6.77,3.34,1.93,3.4,1.37,5.08,6.18,3.47,2.4,3.52,3.35,3.88,3.44,,0.98,
May,,,,,,,,,,3.83,3.71,2.33,4.96,2.65,2.35,0.99,0.89,2.62,2.35,4.63,3.65,2.6,2.48,3.02,4.12,2.57,4.8,4.72,3.67,4.08,2.83,3.58,2.26,3.21,1.98,1.61,4.35,3.76,2.74,
June,,,,,,,,,,1.36,4.42,1.52,5.19,2.19,3.76,2.99,5.44,6.99,2.77,2.03,4.74,4.05,2.02,3.3,2.49,1.17,1.62,4.88,2.75,2.68,2.69,3.07,5.33,3.92,0.96,1.98,2.11,3.05,1.58,
July,,,,,,,,,,2.02,4.82,2.09,3.01,2.91,3.77,5.19,3.3,2.67,1.51,4.56,3.99,3.21,3.37,5,3.31,3.15,2.98,3,3.85,4.1,5.01,3.13,2.51,1.11,2.92,4.75,4.73,1.44,3.22,
August,,,,,,,,,,6.34,3.71,6.13,9.48,3.42,4.4,7.48,2.93,6.03,6.27,1.73,4.63,3.71,4.7,7.55,6.13,6.51,5.62,6.39,4.88,3.78,9.28,4.09,4.56,1.76,5.24,3.62,3.66,5.11,3.8,
September,,,,,,,,,,1.41,6.46,6.3,6.73,3.07,0.21,1.92,4.97,4.09,5.92,4.88,4.06,3.91,3.82,4.09,5.39,3.51,2.23,2.4,7.59,2.03,2.05,2.43,3.08,2.23,2.73,2.13,1.1,2.75,6.65,
October,,,,,,,,,,4.15,3.5,5.49,3.97,5.86,4.04,3.12,4.25,2.78,5.07,4.68,6.78,5.04,3.49,9.55,3.03,3.59,7.47,6.68,1.6,8.93,2.52,3.4,5.24,2.36,1.64,2.93,10.39,7.75,6.57,
November,,,,,,,,,,2.52,9.27,4.66,5.23,3.45,3.8,6.79,1.9,4.48,6.41,8.01,7.52,3.74,4.15,3.37,2.38,5.64,5.82,3.48,4.06,2.79,3.73,7.16,3.7,6,5.68,2.93,6.5,8.27,5.68,
December,,,,,,,,,,4.32,1.28,8.95,2.84,6.58,3.4,5.74,7.62,6.5,9.89,5.24,9.35,5.86,6.94,5.44,6.18,5.72,4.1,7.65,5.73,8.36,5.26,6.64,8.4,3.53,7.63,4.7,5.5,3.04,5.5,
Total,,,,,,,,,,39.51,53.72,48.35,51.03,43,54.13,42.99,45.44,51.19,57.08,56.6,60.93,42.73,42.94,74.76,53.09,47.57,53.34,57.53,50.29,53.97,56.28,53.25,51.87,43.69,44.03,39.4,57.19,,52.2,
