KEW OBSERVATORY (2nd gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ171757 ,Long,-0.315551,Lat,51.468162,Elevation,19,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,,,1.23,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,1.15,1.12,2.92,3.53,,,,,,,,,
February,,,1.48,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.09,0.79,0.85,2.21,,,,,,,,,
March,,,1.03,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,3.85,1.75,0.88,3.06,,,,,,,,,
April,,,2.62,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1,2.13,3.1,2.34,,,,,,,,,
May,,,1.21,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,1.61,2.04,1.78,0.36,,,,,,,,,
June,,,1.99,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,2.04,3.71,1.15,1.18,,,,,,,,,
July,,,2.02,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,1.35,4.71,4.66,2.65,,,,,,,,,
August,,,1.1,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3.92,4.12,1.42,2.16,,,,,,,,,
September,,,2.33,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.46,2.03,5.7,1.45,,,,,,,,,
October,,,5.73,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,3.67,3.39,1.18,0.57,,,,,,,,,
November,,,2.31,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,3.91,1.32,2.16,1.05,,,,,,,,,
December,,,2.14,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,2.18,1.18,2.1,3.75,,,,,,,,,
Total,,,25.19,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,29.23,28.29,27.9,24.31,,,,,,,,,
