REDCAR,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ599249,Long,-1.074,Lat,54.616,Elevation,25,ft,,,,,,,,,,,,,,,,
Station no,3479/8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.49,3.83,1.75,2.74,2.48,2.49,1.03,4.55,0.98,0.87,4.87,0.55,1.34,1.59,1.97,0.85,3.02,1.78,2.77,1.34,1.11,3.09,4.46
February,,1.19,0.49,1.79,5.59,1.37,0.31,1.85,1.27,0.48,2.60,0.79,0.49,2.47,2.15,0.66,1.60,1.51,1.68,1.56,1.50,3.13,0.54,1.64
March,,0.04,1.87,1.69,1.92,0.81,0.42,0.36,0.24,1.11,2.99,0.93,1.55,0.48,3.71,1.08,0.13,1.60,1.68,0.48,0.86,3.73,0.36,1.10
April,,0.18,1.21,1.72,0.88,0.49,0.78,1.53,1.24,1.88,3.23,0.88,1.89,2.04,1.35,1.36,1.66,0.20,0.95,0.91,0.48,1.77,1.29,0.39
May,,1.69,1.59,0.73,1.30,1.01,1.66,1.09,3.23,1.56,1.68,0.96,1.13,1.89,4.61,1.01,1.26,2.01,1.39,0.38,0.84,2.73,0.36,0.99
June,,2.18,2.27,0.97,0.69,0.98,1.10,1.77,2.22,2.70,2.16,4.32,0.85,1.26,1.40,1.45,2.07,2.01,2.46,3.13,2.51,2.80,2.07,0.29
July,,3.01,2.63,8.51,1.19,3.27,0.86,3.01,2.04,4.60,2.66,1.12,1.55,2.68,1.82,1.45,2.13,1.21,1.14,2.62,3.45,2.26,2.90,5.62
August,,2.05,2.50,1.37,2.84,1.94,4.35,2.92,2.98,4.21,0.37,3.98,2.37,4.14,5.74,1.55,2.48,4.04,0.77,6.73,2.96,1.49,0.17,2.29
September,,1.56,,,0.57,2.68,3.40,4.21,1.28,3.01,2.15,1.15,0.45,2.18,0.86,4.51,1.10,1.23,1.00,1.64,3.27,1.39,1.16,2.35
October,0.73,2.86,4.64,3.15,3.72,2.18,1.43,1.96,2.92,0.65,0.31,1.21,2.27,0.91,1.41,2.20,1.53,3.38,1.61,1.24,1.74,0.90,1.24,6.04
November,0.99,1.99,1.72,3.12,1.94,1.91,2.38,4.68,1.02,2.97,1.68,1.28,1.92,5.26,3.96,3.34,1.25,3.33,1.40,1.58,1.75,0.85,3.51,2.93
December,3.41,,1.30,2.16,0.34,1.78,0.86,0.88,0.61,2.50,1.48,0.92,2.33,2.62,3.16,2.17,0.86,2.20,2.42,1.33,1.17,2.40,2.85,2.49
Total,,,,,23.72,20.90,20.04,25.29,23.60,26.65,22.18,22.41,17.35,27.27,31.76,22.75,16.92,25.74,18.28,24.37,21.87,24.56,19.54,30.59
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/063,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/243,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/065,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1938 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for September 1939 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for September 1940 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1973 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
