THURSO HOLBURN HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND107707,Long,-3.538962,Lat,58.615011,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.25,0.6,2.22,2.75,2.26,3.41,1.08,1.5,2.1,2.6,1.5,4.6,4.5,2.5,2.5,2.9,1.8,1.7,0.4,3.3,2.1,3.6,1.4,3.6,2.3,1.8,2.2,2.8,1.1,5.2,2.2,3.3,3.7,3.9,2.6,3.4,5.35,3.5,1.8,3.2,3.4,2.57,2.48,1.99,4.83,3.34,3.28,5.56,2.1,2.28,1.28,3.07,1.76,2.99,3.3,1.1,2.85,3.36,4.92,4.06,3.45,2.48,2.1,1.78,2.36,2.45,0.81,0.69,,4.19,1.07,2.02,4.87,3.25,1.3,3.93,3.9,3.53,2.51,1.69,2.16,3.87,1.06,1.06,3,3.01,5.19,3.85,2.47,4.23,4.41,2.48,3.33,4.18,3.83,2.8,5.02,2.21
February,,,,1.7,4.05,2.37,5.26,2.53,4.32,4.14,0.45,2.6,1.6,0.5,0.7,0.9,2.3,2.5,0.8,1.1,3.2,2.5,2.4,2.6,0.6,1.9,1.5,2,2.3,5.7,0.8,2.2,3.2,1.9,3.7,0.7,1.4,1.3,4.4,1.6,2.3,3.8,1.1,6.4,7.19,4.42,5.5,2.74,4.99,1.86,2.34,3.76,2.07,1.42,3.56,2.42,1.21,0.89,1.51,1.26,1.68,1.06,0.89,2.26,2.1,3.66,1.32,1.45,1.09,0.25,0.53,,0.37,3.82,2.57,2.94,1.78,0.48,2.57,1.95,0.66,1.5,1.03,3.18,1.91,2.41,2.66,2.18,2.26,2.13,3.06,4.72,2.86,1.69,2.59,2.71,1.95,1.08,2.16,0.76,1.81
March,,,,2.7,0.67,2.57,3.06,1.69,2.15,3.45,0.5,1.8,1.2,2.4,3.2,0.4,4.1,1.4,4,1.1,1.2,2.9,4.2,2,2.4,1.7,0.9,0.6,2.1,1.7,3.5,3.7,0.6,1.2,1.3,3.5,4.8,5.2,3.9,2.5,2.5,2.2,3.6,1.7,0.95,2.09,1.95,2.41,3.4,1.68,2.16,2.52,3.75,2.63,3.75,2.42,1.79,2.55,1.63,2.1,2.63,1.6,1.4,0.39,2.29,2.76,3.14,1.6,0.38,0.43,0.31,,0.88,1.45,2.63,2.55,1.15,3.28,3.1,2.66,3.88,0.72,1.26,1.32,3.73,1.15,2.13,2.44,1.34,3.28,2.34,3.86,2.41,1.46,1.94,1.69,0.51,2.94,1.56,1.65,0.6
April,,,,1.29,0.52,1.03,0.99,3.57,2.52,2.47,2.3,1.6,2.5,1.8,2,3,3.2,1.3,0.1,2.3,0.9,0.9,1.2,1,0.4,1,1.7,2.8,2.3,2.5,1.2,0.2,1.2,1.2,0.1,2.2,3.2,1,3.5,3.8,3.4,3,1.1,3.6,7.03,2.72,1.66,1.72,2.23,2.68,3.42,2.46,3.2,1.31,2.42,1.92,1.53,2.2,0.7,4.3,1.68,1.09,2.43,2,1.2,2.24,1.88,3.24,0.76,1.01,0.44,,3.43,1.37,5.19,2.32,1.51,0.63,1.26,1.16,2.52,0.6,0.64,2.28,1.85,2.06,2.11,2.53,1.77,2.08,3.54,2.39,0.64,2.72,1.39,1.77,1.39,0.93,1.16,1.7,0.59
May,,,,1.85,1.15,0.87,1.63,0.83,1.03,0.9,1.6,1.1,1.5,2,1.8,1.7,1.9,2.5,1.4,2,1.5,1.4,1.5,2.1,2.2,1.1,1.8,1.6,2.6,0.4,1,2.5,1.7,1.4,2.5,0.5,1.8,1.3,4.1,3.8,1.9,1.4,1.5,1.6,1.43,2.01,2.69,1.3,1.84,2.05,1.58,1.29,3.04,1.94,3.24,0.86,2.5,0.89,0.81,0.15,1.88,2.25,0.65,3.11,1.69,2.01,1.63,1.41,0.52,0.79,0.34,,2.21,0.88,2.21,0.88,1.68,0.85,2.28,0.54,1.28,0.86,1.55,1.47,2.32,2.07,0.81,1.34,1.18,2.22,0.67,0.52,2.14,2.38,2.02,3.38,1.52,1.2,3.91,1.88,0.41
June,,,,1.29,1.01,1.23,1.87,2.86,1.11,1.15,0.8,0.2,3,1.6,1.9,0.9,0.8,2.6,0.4,1.3,1.6,2.3,3.3,0.9,1.2,1.7,2.4,0.9,1.3,0.9,2.7,1.1,2.2,0.9,1.6,1.5,2.4,0.8,3.9,1.9,0.4,3.5,3,1.5,1.12,0.58,1.42,4.43,1.63,1.79,0.9,2.62,0.59,1.99,1.34,0.56,3.22,2.73,3.15,1.11,1.4,0.92,2.44,2.56,1.69,1.04,1.41,3.32,1.83,1.86,0.89,,0.55,1.1,1.69,1.91,0.73,2.71,3.65,1.28,0.73,0.33,1.62,1.38,3.56,2.11,1.9,1.47,1.99,1.16,3.59,1.62,2.3,1.1,3.29,1.24,2.67,2.14,1.06,2,0.68
July,,,,0.9,0.61,1.9,1.64,1.71,0.68,1.75,1.2,3.9,2.4,1.4,2,3.6,1.9,2.4,2.8,2.9,3.5,2.9,3,2.5,1.2,1.4,2,1.9,1.9,1.9,3.7,5,2.2,3.8,5.3,1.9,3.4,2.2,2.5,3,4.6,1.3,6.1,3.5,1.06,2.14,1.96,1.4,1.24,1.61,1.3,1.92,1.61,1.16,3.34,2.65,1.34,0.5,7.83,0.39,1.41,1.97,2.36,2.4,2.94,2.98,1.37,0.49,1.46,0.43,1.1,,2.79,3.33,3.87,1.97,5.17,2.49,4.47,4.07,2.94,0.58,3.59,3.03,1.66,2.66,4.07,1.76,2.42,1.45,3.8,4.22,1.91,4.86,3.24,0.62,3.77,4.39,1.3,2.21,1.84
August,,,,3.16,0.9,1.91,3.1,1.31,6.5,2.7,1.3,2.9,2.1,3.3,3.7,1.9,1.5,3.2,1,5.1,0.4,1.9,2.9,2.3,4.9,1.9,0.6,2,1.9,4.3,4.1,4.2,3,2.8,4.2,3.5,3.9,1.8,4.5,1.2,0.9,4.3,3.2,4.65,2.86,3.05,2.53,4.84,2.13,3.33,3.18,0.82,4.56,1.07,1.07,1.56,1.5,2.43,3,5.22,1.78,3.34,2.39,3.7,3.16,1.72,2.81,0.78,1.68,3.04,2.85,,3.46,4.58,4.77,4.68,3.24,2.45,1.93,2.92,2.13,3.77,1.17,3.72,2.12,2.3,2.22,0,3.7,4.46,1.77,2.83,2.7,3.2,1.78,1.27,3.06,3.26,3.73,2.14,3.47
September,,,0.9,4.33,1.36,2.21,2.98,4.85,1.55,5.7,3.35,1.7,4,4.9,2.3,2.1,1.5,0.9,4.5,1.5,3.7,1.2,4,3.1,0.5,2.4,1.2,1.9,1.2,2.4,2,1.9,1.6,5.4,0.4,2.3,4.6,4.8,4.2,4.7,2.3,1.6,4.2,2.55,3.29,2.37,1.58,0.85,4.73,1.87,0.88,2.89,1.78,2.52,2.36,7.52,1.77,3.04,2.12,6.7,3.83,3.6,2.23,5.4,4.9,4.49,3.26,2.62,2.82,3.55,2.99,,4.84,0.97,1.74,4.09,2.31,1.81,2.53,1.47,1.72,1.48,2.98,3.25,3.07,2.63,3.44,4.75,3.69,3.07,7.7,0.88,3.66,2.73,3.89,4.04,1.7,3.22,1.17,0.73,1.36
October,,,3.25,2.63,1.9,3.95,1.81,5.92,2.41,2.9,1.9,1.5,5.5,6.4,4.2,2.8,2.8,3.2,3.8,3.1,3.8,3.2,1.7,4,6.8,3.7,1.2,1.3,4.5,2.9,6.3,0.8,6.2,6.4,4.1,6.2,4.1,2.9,3.6,3.7,5.2,4.3,2.1,7.22,3.29,3.96,2.08,1.53,1.03,3.18,1.62,2.03,2.72,1.9,2.06,2.67,4.06,4.44,0.78,3.28,1.52,3.13,1.8,6.05,1.94,4.09,4.89,4.69,1.88,4.92,4.51,,4.18,2.63,5.94,5.21,4.12,2.06,5.16,2.24,1.68,4.22,4.3,2.38,2.77,3.11,0.71,2.11,6.34,1.71,2.62,2,2.72,0.74,6.31,5.48,3.35,4.2,3.56,4.19,2.56
