THURSO HOLBURNHEAD,,,,,,,,,,,,
Grid ref,ND107707,Long,-3.538962,Lat,58.615011,,,,,,,
Station no,5813,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.50,1.80,3.20,3.40,2.57,2.48,1.99,4.83,3.34,3.28,,
February,2.30,3.80,1.10,6.40,7.19,4.42,5.50,2.74,4.99,1.86,,
March,2.50,2.20,3.60,1.70,0.95,2.09,1.95,2.41,3.40,1.68,,
April,3.40,3.00,1.10,3.60,7.03,2.72,1.66,1.72,2.23,2.68,,
May,1.90,1.40,1.50,1.60,1.43,2.01,2.69,1.30,1.84,2.05,,
June,0.40,3.50,3.00,1.50,1.12,0.58,1.42,4.43,1.63,1.79,,
July,4.60,1.30,6.10,3.50,1.06,2.14,1.96,1.40,1.24,1.61,,
August,0.90,4.30,3.20,4.65,2.86,3.05,2.53,4.84,2.13,3.33,,
September,2.30,1.60,4.20,2.55,3.29,2.37,1.58,0.85,4.73,1.87,,
October,5.20,4.30,2.10,7.22,3.29,3.96,2.08,1.53,1.03,3.18,,
November,4.90,4.30,1.20,7.22,3.99,3.84,4.85,1.61,4.29,5.50,,
December,3.80,7.20,5.50,1.61,4.86,1.58,5.93,2.87,1.40,2.30,,
Total,35.70,38.70,35.80,44.95,39.64,31.24,34.14,30.53,32.25,31.13,,
Calc annual,35.70,38.70,35.80,44.95,39.64,31.24,34.14,30.53,32.25,31.13,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
