"CHARSFIELD RED HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1363,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.88,1.66,4.55,1.12,2.18,1.02,2.26,1.17,2.98,1.50,1.89,
February,0.73,0.17,1.93,3.45,1.21,1.80,1.67,2.37,0.89,0.58,0.84,
March,0.85,0.95,1.72,1.02,0.55,1.19,0.25,2.51,2.74,0.06,1.25,
April,3.43,1.32,2.48,0.86,2.48,2.26,2.79,1.72,0.87,1.50,1.89,
May,0.89,1.54,1.56,1.05,5.49,1.53,1.35,0.79,2.65,1.08,2.43,
June,1.26,0.34,1.21,0.62,2.41,0.44,2.24,3.47,2.09,0.61,1.11,
July,2.70,0.21,2.86,1.32,2.74,1.73,1.57,2.58,2.60,4.53,5.27,
August,1.79,4.09,1.35,2.11,3.48,1.76,1.15,3.44,2.02,1.40,3.78,
September,3.10,1.92,3.43,1.21,2.82,2.34,1.06,3.31,0.90,0.44,5.16,
October,0.82,0.99,1.34,3.25,4.33,2.19,2.52,1.67,1.60,2.78,0.77,
November,0.45,1.55,1.21,2.61,2.00,1.87,3.50,3.49,2.03,3.67,3.34,
December,2.99,1.56,1.59,2.62,2.52,2.70,0.73,2.60,3.66,3.99,2.36,
Total,20.89,16.30,25.23,21.24,32.21,20.83,21.09,29.12,25.03,22.14,30.09,
Calc annual,20.89,16.30,25.23,21.24,32.21,20.83,21.09,29.12,25.03,22.14,30.09,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,
