KENKNOCK (OLD SITE),,,,,,,,,,,,
Grid ref,NN465365,Long,-4.495033,Lat,56.495477,,,,,,,
Station no,5556/4/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.34,4.73,15.65,8.96,4.83,,,
February,,,,,3.74,3.08,7.25,3.69,5.00,,,
March,,,,,0.87,4.30,7.75,2.29,8.32,,,
April,,,,,3.52,2.96,3.05,3.77,6.69,,,
May,,,,,4.24,6.48,2.90,5.51,4.19,,,
June,,,,,3.15,4.67,3.13,3.22,5.75,,,
July,,,,,0.79,6.56,5.52,4.94,5.41,,,
August,,,,,1.28,5.80,7.03,8.13,4.82,,,
September,,,,,5.96,5.60,4.20,7.86,1.62,,,
October,,,,,6.04,7.10,9.54,8.56,,,,
November,,,,,4.22,6.30,3.52,1.91,,,,
December,,,,,13.22,15.68,14.24,9.29,,,,
Total,,,,,51.37,73.26,83.78,68.13,,,,
Calc annual,0.00,0.00,0.00,0.00,51.37,73.26,83.78,68.13,46.63,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,,
