KENKNOCK,,,,,,,,,,
Grid ref,NN467364,Long,-4.491729,Lat,56.494644,Elevation,710,ft,,
Station no,5556/4/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.44,3.7,6.6
February,,,,,,,,3.54,4.78,6.7
March,,,,,,,,2.11,8.63,3.09
April,,,,,,,,3.81,6.59,9.73
May,,,,,,,,5.34,4.23,3.58
June,,,,,,,,3.24,6.24,3.18
July,,,,,,,,4.6,5.4,4.8
August,,,,,,,,7.86,4.97,3.89
September,,,,,,,,7.19,1.91,4
October,,,,,,,,8.21,9.49,6.7
November,,,,,,,,1.86,9.95,10.36
December,,,,,,,14.94,9.42,15.2,10.5
Total,,,,,,,,65.62,81.09,73.13
,,,,,,,,,,
Station no,5556/4/8,,,,,,,,,
Midas,15122,,,,,,,,,
Hyd Stn,860899,,,,,,,,,
