SANDHURST-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU819629,Long,-0.82512376,Lat,51.359276,Elevation,263,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.37,1.23,2.33,2.64,3.07,4.18,2.07,0.95,0.97,2.65,1.76,0.55,1.69,3.43,2.7,0.55,2.34,0.99,3.06,2.62,1.48,1.02,2.74,3.5,0.59,3.97,0.71,1.49,0.85,2.22,1.31,,,,,,,,
February,2.98,1.95,1.45,4.11,1.92,3.27,0.72,0.83,0.93,1.91,0.97,0.01,1.39,3.57,1.97,0.14,0.45,2.81,1.47,2.49,4.9,1.75,1.24,1.4,3.42,0.6,1.88,1.63,1.25,0.5,3.27,1.55,,,,,,,,
March,1.17,1.51,0.9,0.56,1.72,2.03,1.81,1.99,3.42,1.86,1.23,1.51,0.95,0.38,1.41,1.33,3.17,3.76,1.02,0.86,1.05,1.99,2.11,3.72,1.44,3.92,1.65,1.05,3.06,3.82,1.12,1.65,,,,,,,,
April,1.4,0.65,3.07,1.19,1.66,1.51,1.84,1.43,2.01,2.27,2.47,1.1,0.95,0.07,1.37,1.48,0.66,1.29,1.38,2.63,0.89,2.07,1.16,2.32,1.45,1.92,0.56,3.61,4.01,2.25,2.06,1.89,,,,,,,,
May,0.68,1.27,1.73,2.15,0.72,3.67,4.19,1.72,1.23,2.62,1.8,3.41,0.82,0.61,1.67,0.58,0.31,0.91,2.58,1.31,1.39,0.7,2.58,3.14,3.26,0.64,2.41,1.64,1.47,1.86,2.03,4.28,,,,,,,,
June,2.97,1.92,3.34,1.59,2.25,2.21,0.55,1.52,2.33,0.68,2.67,1.07,2.04,0.74,2.52,0.48,2.38,2.02,1.96,1.55,2.64,1.96,3.65,6.69,1.05,4.21,2.42,3,1.23,4.51,3.74,1.64,,,,,,,,
July,6.18,1.76,2.46,2.26,3.14,0.26,2.17,0.84,6.11,1.98,4.43,3.62,2.57,2.09,3.62,4.34,0.93,0.91,0.45,0.37,0.58,2.49,0.97,3.19,1.94,0.6,0.51,1.5,2.1,2.84,2.99,0.49,,,,,,,,
August,1.35,5.6,1.65,0.52,2.03,0.86,0.71,1.87,1.88,1.64,2.26,4.11,4.53,2.1,3.13,1.89,2.93,2.81,1.13,0.67,3.11,2.52,4.05,3.29,2.19,2.78,1.04,2.66,3.16,2.56,2.38,0.91,,,,,,,,
September,4.98,2.26,2.94,3.31,1.89,5.28,1.69,2.28,1.38,1.3,0.82,2.24,3.34,1.08,2.32,1.31,5.64,2.06,0.81,2.63,0.75,1.46,0.99,2.28,1.67,2.61,1.18,0.8,1.85,3.39,0.49,1.12,,,,,,,,
October,4.66,1.93,6.25,2.07,0.77,4,4.62,3.11,2.29,4.18,1.1,7.55,3.95,5.19,4.6,3.75,2.78,1.09,3.81,2.92,2.03,2.8,1.69,7.9,1.62,1.68,5.35,5.32,2.41,5.68,3.75,3.04,,,,,,,,
November,2.01,2.98,2.97,2.87,1.66,3.81,3.18,3.84,4.64,0.72,1.99,2.39,2.51,2.21,4,3.82,1.56,1.23,3.57,4.21,2.09,0.6,2.72,1.94,1.73,3.36,4.4,2.33,0.81,0.64,3.25,3.92,,,,,,,,
December,2.91,2.73,2.56,0.54,2.74,1.28,3.52,1.63,1.45,1.23,0.69,4.38,1.28,3.62,2.35,2.18,3.36,2.97,2.62,1.47,3.33,3.9,1.49,2.53,2.59,0.83,2.43,3.53,2.43,2.82,4.57,6.41,,,,,,,,
Total,,24.93,30.55,23.5,23.14,31.25,29.18,23.13,28.62,21.36,23.08,33.15,24.88,23.35,32.39,24,24.72,24.2,21.79,24.17,25.38,23.72,23.67,41.14,25.86,23.74,27.8,27.78,25.27,31.72,31.87,28.21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the walled garden near Sandhurst Lodge; the 1900s records notes walls 30 yards away on all sides. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
