"SANDHURST LODGE",,,,,,,,,,,,
Grid ref,SU821627,Long,-0.822298,Lat,51.357449,,,,,,,
Station no,RR1516,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.62,1.48,1.02,2.74,3.50,0.59,3.97,0.71,1.49,0.85,,
February,4.90,1.75,1.24,1.40,3.42,0.60,1.88,1.63,1.25,0.50,,
March,1.05,1.99,2.11,3.72,1.44,3.92,1.65,1.05,3.06,3.82,,
April,0.89,2.07,1.16,2.32,1.45,1.92,0.56,3.61,4.01,2.25,,
May,1.39,0.70,2.58,3.14,3.26,0.64,2.41,1.64,1.47,1.86,,
June,2.64,1.96,3.65,6.69,1.05,4.21,2.42,3.00,1.23,4.51,,
July,0.58,2.49,0.97,3.19,1.94,0.60,0.51,1.50,2.10,2.84,,
August,3.11,2.52,4.05,3.29,2.19,2.78,1.04,2.66,3.16,2.56,,
September,0.75,1.46,0.99,2.28,1.67,2.61,1.18,0.80,1.85,3.39,,
October,2.03,2.80,1.69,7.90,1.62,1.68,5.35,5.32,2.41,5.68,,
November,2.09,0.60,2.72,1.94,1.73,3.36,4.40,2.33,0.81,0.64,,
December,3.33,3.90,1.49,2.53,2.59,0.83,2.43,3.53,2.43,2.82,,
Total,25.38,23.72,23.67,41.14,25.86,23.74,27.80,27.78,25.27,31.72,,
Calc annual,25.38,23.72,23.67,41.14,25.86,23.74,27.80,27.78,25.27,31.72,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
