"BLANDFORD (BRYANSTON)",,,,,,,,,,,,
Grid ref,ST871071,Long,-2.184666,Lat,50.863261,,,,,,,
Station no,1620,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.53,1.42,8.63,0.97,1.27,1.98,,
February,,,,,5.28,1.10,3.39,1.87,1.67,0.82,,
March,,,,,1.85,5.41,1.17,0.87,4.27,3.33,,
April,,,,,1.61,2.15,1.72,6.00,2.66,1.77,,
May,,,,,2.51,0.60,2.57,1.76,2.50,1.25,,
June,,,,,0.91,2.96,1.72,2.32,0.57,4.45,,
July,,,,,3.60,0.24,1.08,1.16,2.15,3.26,,
August,,,,,3.08,4.34,1.13,1.77,4.50,3.30,,
September,,,,,,1.70,1.15,1.05,3.54,4.37,,
October,,,,,,1.59,6.50,3.26,2.98,11.43,,
November,,,,,,5.86,4.22,3.65,1.07,1.01,,
December,,,,,,1.15,2.51,5.12,3.50,5.92,,
Total,,,,46.31,,28.52,35.79,29.80,30.68,42.89,,
Calc annual,0.00,0.00,0.00,0.00,25.37,28.52,35.79,29.80,30.68,42.89,,
Difference,NaN,NaN,NaN,46.31,NaN,0.00,0.00,0.00,0.00,0.00,,
