BROUGSHANE QUOLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW335695,Long,-6.162013,Lat,54.949041,Elevation,893,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,3.04,3.38,5.34,6.3,2.85,5.04,2.03,2.85,2.86,3.4,1.07,2.48,4.31,4.03,2.77,2.37,2.69,2.49,4.27,5.09,3.49,3.12,5.78,3.98,3.02,5.59,2.99,3.33,4.22,2.28,2.82,4.19,4.6,3.13,3.38,3.76,4.22,2.86,5.18,4.96,6.32,4.75,5.17,3.32,2.94,5.55,4.85,6.37,1.58,4.06,6.35,4.05,2.67,3.35,3.11,4.61,4.91,5.51,5.7,3.84,3.91,7.71,5.74,5.36,5.79,5.89,4.09,8.66,5.28,3.52,4.23,5.69,2.29,6.08,4.7,5.58,5.22,5.68,3.44,4.79,,,,,,,,,,,,,,,,,,,
February,,4.33,3.8,4.65,3.42,3.94,2.59,1.25,1.4,2.64,0.89,0.47,1.64,4.39,4.62,0.95,2.96,2.49,3.75,2.31,5.98,2.03,1.43,2.94,3.66,2.87,3.28,2.04,3.9,3.05,5.33,4.24,3.83,1.09,3.96,4.11,4.13,2.41,4.88,1.76,2.35,1.17,4.58,5.33,2.26,3.91,3.02,2.1,3,2.48,1.11,3.89,0.16,2.99,0.4,4.35,3.09,6.25,2.18,4.42,3.62,4.38,4.21,3.57,2.41,4.13,4.04,1.98,2.51,3.42,3.86,4.02,2.26,2.31,4.29,5.26,1.96,3.49,6.05,2.02,5,,,,,,,,,,,,,,,,,,,
March,,4.22,5.36,1.99,4.62,3,1.83,1.5,3.95,3.5,2.48,2.29,0.49,2.19,2.08,5.76,4.81,5.37,2.64,2.67,3.16,2.97,2.98,4.54,1.76,3.61,3.74,5.32,5.33,4.58,2.47,2.13,6.48,3.46,4.9,1.99,2.69,2.99,1.7,5.57,3.2,3.5,2.4,1.58,1.12,3.63,1.44,3.2,4.07,0.47,2.34,1.28,2.21,2.58,4.04,1.08,3.05,6.25,3.91,6.82,6.66,4.94,3.51,1.41,2.12,2.15,2.75,5.87,2.54,4.26,1.97,4.33,1.93,0.79,4.11,1.59,2.11,3.8,2.72,2.82,2.62,,,,,,,,,,,,,,,,,,,
April,,1.49,3.21,1.95,1.87,3.46,1.26,1.69,2.1,3.75,1.69,1.79,1.37,2.48,1.75,1.57,2.19,2.45,3.18,4.69,6,3.78,2.36,2.43,2.42,3.85,4.1,2.7,2.82,3.83,3.61,3.08,4.1,4.42,2.58,3.44,6.31,4.31,2.29,2.21,2.97,1.42,3.94,2.99,2.96,4.79,1.96,2.74,1.81,1.54,3.08,2.85,4.68,1.48,5.15,4.46,1.06,4.18,0.95,3.4,5.32,3.77,3.08,3.83,2.58,2.15,1.48,3.44,2.93,4.2,6.37,2.67,2.29,3.72,1.45,3.45,2.89,2,3.45,3.81,3.72,,,,,,,,,,,,,,,,,,,
May,,3.74,3.45,3.58,3.56,3.53,2.79,3.25,2.86,2.13,1.9,3.25,3.73,1.95,2.91,0.79,1.17,2.42,4.94,5.14,4.87,1.48,6.08,3.19,2.23,2.37,5.02,4,3.43,2.55,1.16,2.87,3.71,3.26,2.76,0.75,6.87,5.02,2.43,1.91,4.73,3.97,1.87,3.13,5.53,4.91,3.7,2.17,1.32,3.15,2.69,3.9,2.52,2.35,4.29,1.74,2.18,2.1,3.84,1.68,2.6,3.23,3.46,6.65,2.73,5.94,1.47,3.82,1.92,2.42,1.95,2.65,1.69,2.28,5.18,3.71,2.3,2.14,4.17,1.84,2.6,,,,,,,,,,,,,,,,,,,
June,1.52,5.02,6.02,2.33,1.25,1,1.54,1.01,3.81,0.84,3.76,1.39,3.22,3.41,3.56,2.44,4.29,6.95,3.74,2.27,4.63,4.33,2.67,2.6,1.71,2.05,1.82,7.02,4.48,2.85,4.63,2.9,8.11,2.82,2.1,1.8,2.68,2.96,3.26,3.91,2.87,1.16,3.15,3.16,3.9,1.54,2.64,5.46,6.47,3.27,2.47,5.53,1.83,3.35,2.53,4.01,2.81,3.22,5.75,3.29,3.19,0.79,1.37,5.49,3.94,5.28,4.51,4.99,4.83,1.99,3.52,3.87,3.81,2.57,4.53,5.28,4.24,4.7,5.32,2.45,3,,,,,,,,,,,,,,,,,,,
July,5.73,4.74,7.59,3.5,3.67,2.25,3.19,3.24,6.38,3.21,3.93,3.87,3.75,3.99,6.8,4.26,6.35,3.37,1.07,4.32,2.83,0.9,4.11,5.66,3.44,2.89,2.53,3.87,4.28,5.52,4.91,3.98,5.6,1.9,2.56,4.25,2.53,1.84,4.88,1.48,4.69,4.42,4.57,3.94,5.34,4.13,5.07,3.81,4.04,3.39,4.85,5.92,5.4,4.42,3.13,1.8,7.11,5.32,5.16,5.72,5.99,4.86,6.31,2.18,4.62,6.9,4.46,4.53,4.49,2.85,8.03,4.31,4.16,7.32,5.47,1.02,5.77,6.55,5.11,6.11,8.67,,,,,,,,,,,,,,,,,,,
August,2.22,4.26,4.28,8.77,4.52,2.84,2.11,2.94,5.38,8.3,3.59,5.02,5.16,6.41,3.78,4.16,3.64,6.2,4.22,1.98,5.76,6.36,5.11,5.94,6.34,7.07,6.71,5.66,2.74,3.08,5.59,3.95,7.52,2.13,4.22,2.45,4.31,6.17,4.14,4.85,2.97,4.01,4.06,7.31,7.28,1.83,6.13,3.29,6.57,8.16,9.75,3.22,1.93,3.76,6.01,2.2,4.13,3.27,3.64,2.85,3.45,7.47,8.13,7.14,4.19,2,7.46,0.17,5.11,4.12,6.82,5.11,7.87,5.84,4.05,1.17,8.92,4.82,4.66,1.51,5.46,,,,,,,,,,,,,,,,,,,
September,7.29,3.3,5.76,7.42,4.72,6.96,2.14,4.94,1.61,3.53,3.62,2.8,4.56,4.79,0.75,0.62,5.32,4.57,4.58,6.63,4.73,3.59,5.94,3.77,4.59,3.99,2.12,1.81,5.64,3.27,2.07,2.63,4.13,3.34,1.89,0.66,2.73,3.14,8.24,3.2,4.57,1.96,2.97,5.75,6.48,5.31,3.98,6.85,3.49,1.6,4.37,2.72,5.61,0.56,6.17,4.52,6.41,2.57,4.16,3.98,7.12,2.19,6.62,4.51,7.07,3.59,8.1,4.19,5.57,2.48,11.02,2.93,5.57,4.4,5.48,6.62,3.7,7.94,5.1,1.67,3.47,,,,,,,,,,,,,,,,,,,
October,2.45,4.57,2.3,4.45,5.31,5.23,4.52,1.58,2.57,4.35,3.33,4.56,8.5,5.52,4.81,7.02,4.19,2.54,4.77,2.54,7.84,5.31,3.2,7.19,2.09,4.43,6.04,4.92,2.08,6.2,3.05,4.61,5.09,4.68,1.84,3.02,8.09,8.6,3.94,3.08,6.42,3.59,1.57,5.55,2.62,3.89,5.26,4.47,5.62,7.5,8.55,3.58,6.19,4.94,6.51,7.01,5.43,3.31,7.55,3.69,5.86,8.15,4.89,4.85,5.77,4.77,1.78,3.17,5.22,7.43,3.9,1.26,5.07,2.37,9.15,5.05,4.26,5.12,4.15,5.05,5.41,,,,,,,,,,,,,,,,,,,
