"BROUGHSHANE, QUOLIE",,,,,,,,,,,,
Grid ref,ID1780012800,Long,-6.162013,Lat,54.949041,,,,,,,
Station no,6237,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.09,3.49,3.12,5.78,3.98,3.02,5.59,2.99,3.33,4.22,,
February,5.98,2.03,1.43,2.94,3.66,2.87,3.28,2.04,3.90,3.05,,
March,3.16,2.97,2.98,4.54,1.76,3.61,3.74,5.32,5.33,4.58,,
April,6.00,3.78,2.36,2.43,2.42,3.85,4.10,2.70,2.82,3.83,,
May,4.87,1.48,6.08,3.19,2.23,2.37,5.02,4.00,3.43,2.55,,
June,4.63,4.33,2.67,2.60,1.71,2.05,1.82,7.02,4.48,2.85,,
July,2.83,0.90,4.11,5.66,3.44,2.89,2.53,3.87,4.28,5.52,,
August,5.76,6.36,5.11,5.94,6.34,7.07,6.71,5.66,2.74,3.08,,
September,4.73,3.59,5.94,3.77,4.59,3.99,2.12,1.81,5.64,3.27,,
October,7.84,5.31,3.20,7.19,2.09,4.43,6.04,4.92,2.08,6.20,,
November,8.94,7.22,4.24,5.39,4.17,6.30,4.78,5.26,3.55,2.41,,
December,5.00,4.64,3.64,4.45,2.82,2.56,5.23,3.75,3.22,3.10,,
Total,64.83,46.10,44.88,53.88,39.21,45.01,50.96,49.34,44.80,44.66,,
Calc annual,64.83,46.10,44.88,53.88,39.21,45.01,50.96,49.34,44.80,44.66,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
