DALRY (SOUTH BRADSHAW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS246528,Long,-4.795278,Lat,55.736735,Elevation,945,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.3,4.6,1.6,10.3,6.9,5.25,5.9,6.95,8.1,8.6,6.6,4.65,5.4,8.1,3.3,6.3,4.35,4.25,6.05,6.65,2.8,6.05
February,,,,,,,,,6.5,3.04,4.65,2.95,5.15,2.25,7.2,3.75,1,4.6,4.95,4.7,3,1.85,2.9,5.95,3.25,2.35,4.05,5.55,2.3,5.35
March,,,,,,,,,4.65,6.7,3.85,5.75,1.75,1.45,3.9,3,5.5,4.85,4,3,4.25,4.45,1.05,4,1.5,3.35,6.45,2.4,3.85,2.75
April,,,,,,,,,3.3,3.8,2.35,3,4.2,4,2.95,2.65,5.6,3.45,6.8,3.6,2.3,2.7,2.65,2.7,5.3,2,2.95,2.2,4.15,5.75
May,,,,,,,,,1.4,1.65,4.3,4.2,4.2,4.15,5.25,1.25,6.1,2.85,2.3,1.5,2.8,2.45,3,3.4,4.55,3.2,3,4.4,1.95,3.3
June,,,,,,,,,3.15,1.25,1.95,3.5,5.05,3.93,4.95,3.25,5.1,6.6,1.45,3.65,2.25,3.9,1.7,5.5,5,3.15,3.15,4.1,4.2,4.25
July,,,,,,,,,8.15,4,4.6,5.8,3.65,5.95,4.1,5.15,4.25,5.25,2.2,6.75,5,4.55,5.6,4.95,1.4,7.55,7.5,6.35,6.55,6.55
August,,,,,,,,,3,3.5,6.25,8.8,9.15,3.45,3,3.4,0,8.3,6.5,7.35,5.2,5.9,4.5,8.55,1.5,7.05,4.35,6.2,1.4,5.2
September,,,,,,,,,4.7,5.6,3,8.1,4.4,7.6,5.8,9.4,5.8,8.15,3.7,11.5,5.05,4.25,7.25,8.15,5.95,6.7,3.65,5,2.35,4.45
October,,,,,,,,,3.4,6.55,6.15,7.1,10.25,7.9,9.6,0.6,3.55,9.9,7.2,5.1,1.85,6.45,4.9,11.7,3.65,3.45,7.1,5,6.9,4
November,,,,,,,,,9.55,8.45,4.4,0.95,3.9,6.55,0.8,10,7.35,4.55,7.4,4.3,7.9,3.3,8.45,9,4,2.55,2.35,3.25,5.1,7.7
December,,,,,,,,,4.72,7.8,3.05,6.6,3.2,5.85,5.55,5.1,3.65,8.25,8.4,2.35,7.85,6.4,5.95,6.6,8.6,6.3,6.2,8.95,8.55,6.75
Total,,,,,,,,,58.82,56.94,46.15,67.05,61.8,58.33,59,54.5,56,75.35,61.5,58.45,52.85,54.3,51.25,76.8,49.05,51.9,56.8,60.05,50.1,62.1
