GAINSBOROUGH SPRING GDNS,,,,,,,,,,,,,,,,,,
Grid ref,SK817899,Long,-0.7714,Lat,53.4,Elevation,30,ft,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867
January,,1.22,2.74,1.76,2.36,0.49,2.38,2.44,0.44,0.79,2.97,0.28,0.92,2.32,0.63,1.71,1.4,2.22
February,,0.33,0.85,2.02,0.67,1.92,1.16,0.85,0.42,1.36,0.9,2.33,0.81,0.25,1.87,1.31,1.91,0.87
March,,2.38,0.52,1.23,0.69,1.31,0.29,1.76,1.21,0.96,2.46,1.75,2.83,0.65,1.54,1.37,1.35,2.02
April,,2.06,0.16,1.03,0.52,0.41,2.09,2.63,1.66,3.31,0.66,1,1.21,0.8,0.82,0.89,1.51,2.5
May,,1.11,0.75,2.25,3.27,1.6,3.13,1.06,2.44,0.69,3.41,0.66,2.72,0.47,1.58,3.04,1.42,2.01
June,,2.57,3.62,2.86,1.16,1.99,0.94,1.02,1.55,2.47,3.15,2.72,1.14,2.2,1.1,1.56,3.04,2.13
July,,3.42,1.69,2.13,2.07,5.08,1.78,1.56,2.62,0.35,2.87,4.53,1.93,1.68,0.62,2.74,2.66,2.25
August,,2.4,3.08,2.12,0.67,0.9,3.52,7.58,2.71,3.12,4.27,0.53,1.49,2.69,2.5,3.17,2.75,2.67
September,,1.6,3.53,2.83,0.77,0.39,2.84,2.47,2.46,3.06,3.73,1.46,4.01,1.95,1.48,0.19,3.28,2.13
October,,1.59,2.26,2.82,1.19,4.37,2.53,1.7,3.89,1.58,1.25,1.05,2.22,2.02,2.23,4.42,2.56,1.13
November,,0.82,4.83,1.76,2.42,1.25,1.52,1.12,1.16,1.69,1.96,2.36,0.82,2.1,2.55,1.99,2.43,0.96
December,,0.99,1.61,0.95,0.93,0.61,1.54,0.21,1.55,1.16,2.12,1.14,0.39,1.42,1.71,0.67,1.66,1.82
Total,,20.49,25.64,23.76,16.72,20.32,23.72,24.4,22.11,20.54,29.75,19.81,20.49,18.55,18.63,23.06,25.97,22.71
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IDR 1858 Jan,,,,,,,,,,,,,,,,,,
