HORSHAM-COLGATE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ233322,Long,-0.24132668,Lat,51.075888,Elevation,350,ft,,,,,,,,,,,,
Station no,471/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.71,,,3.35,7.44,2.71,2.51,3.22,3.33,6.61,,1.3
February,,,,,,,,,1.47,,,0.73,2.29,1.03,1.99,3.59,2.63,1.96,,6.13
March,,,,,,,,,1.29,,,2.9,0.47,0.12,1.53,1.05,7.27,0.96,1.07,1.53
April,,,,,,,,,2.85,,,1.82,1.71,2.18,1.22,2.38,1.99,2.82,1.82,1.29
May,,,,,,,,,1.63,1.41,2.27,3.2,3.59,0.82,2.6,3.21,2,3.13,2.08,1.02
June,,,,,,,,,1.58,0.34,1.7,0.12,1.97,1.95,2.56,3.1,3.48,2.37,0.67,1.64
July,,,,,,,,,3.47,2.84,2.4,2.07,1.87,2.55,4.2,2.42,1.22,1.35,0.42,
August,,,,,,,,,3.28,0.17,4.66,3.07,1.53,2.2,1.43,5.73,0.29,4.91,1.22,
September,,,,,,,,,1.39,,0.31,1.96,1.56,2.58,2.7,4.21,1.63,2.34,1.06,
October,,,,,,,,,7.01,4.42,1.07,4.85,3.95,4.71,4.4,1.4,0.42,5.04,7.45,
November,,,,,,,,,8.19,,4,1.56,1.93,,0.33,5.77,1.07,1.72,3.84,
December,,,,,,,,,2.6,,2.51,4.16,2.78,,4.53,3.35,2.49,3.8,2.46,
Total,,,,,,,,,39.47,,,29.79,31.09,,30,39.43,27.82,37.01,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 Total corrected,,,,,,,,,,,,,,,,,,,,
1944 Nov Dec estimated,,,,,,,,,,,,,,,,,,,,
1949 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
