RYDE-ESPLANADE-GARDENS (5 St Thomas Street),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ591926,Long,-1.1637,Lat,50.7306,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.53,4.27,0.48,3.73,1.66,2.98,3.45,1.85,4.48,2.97,0.89,1.13,4.18,,1.18,1.93,4.47,3.13,0.9,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.11,4.46,3.27,3.51,1.71,4.42,2.75,3.38,0.8,0.87,1.05,1.57,0.68,,1,3.53,2.52,0.08,0.24,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.55,0.72,1.12,2.67,0.76,0.82,2.42,1.54,2.35,0.93,3.92,2.04,1.24,,1.03,0.41,1.6,1.97,3.15,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.5,3.59,1.78,0.88,4.02,1.27,1.26,1.38,1.55,1.03,1.39,2.07,2.69,,0.99,0.04,1.85,2.4,0.39,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.29,2.5,0.47,1.39,1.12,2.27,1.03,3.24,3.69,1.23,1.74,1.79,2.26,,1,1.06,1.07,0.22,0.42,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.24,3.99,2.63,2.04,2.78,1.21,1.89,1.58,0.62,1.3,2.93,0.5,2.42,,1.7,1.38,1.93,0.86,2.2,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.25,3.74,3.21,1.84,2.74,2.12,1.9,0.76,2.64,0.78,5.22,2.01,3.28,,3.23,5.06,5.08,3.38,0.95,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.22,4.93,0.82,4.27,2.14,1.18,1.9,0.4,1.13,1.75,1.66,2.46,3.67,,2.44,0.98,2.31,2.19,1.67,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.94,3.97,5.8,2.28,2.46,4.49,2.54,4.88,1.74,3.78,0.64,0.65,0.74,,3.03,2.5,3.55,0.42,7.8,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.03,0.99,6.61,1.77,7.02,2.44,0.95,4.18,5.21,1.22,2.24,7.64,1.2,,4.43,4.9,4.76,3.2,3.73,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.96,0.59,3.09,4.57,4.19,4.97,0.97,3.32,3.62,3.5,5.17,1.55,2.63,,2.76,2.14,7.17,4.7,0.66,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.86,1.06,4.24,3.35,2.9,1.02,4.1,1.58,5.82,2.18,1.64,2,0.76,,2.45,3.49,2.33,3.04,2.91,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,29.48,34.81,33.52,32.3,33.5,29.19,25.16,28.09,33.65,21.54,28.49,25.41,25.75,,25.24,27.42,38.64,25.59,25.02,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898 - NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 - Gauge moved to Town Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
