IWERNE-MINSTER-PRESTON-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST864139,Long,-2.1947,Lat,50.925,Elevation,220,ft,,,,,,,,,,,,,
Station no,1625,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.3,5,1.77,4.08,4.65,5.14,3.27,4.78,1.83,6.07,2.89,3.07,3.12,3.08,0.79,5.54,6.74,3.29,5.64,
February,,0.35,3.2,7.97,0.66,5.59,2.06,4.16,2.51,1.36,1.13,2.27,0.08,4.88,0.08,4,2.48,5.13,0.95,1.95,
March,,1.88,3.47,1.99,1.79,1.04,0.81,4.08,2.78,0.17,1.63,1.13,1.89,3.9,3.31,1.13,4.09,4.59,0.19,1.4,
April,,0.91,3.91,3.31,3.78,2.98,3.8,2.12,1.85,0.66,2.64,2.79,3.24,1.25,2.24,4.6,1.85,1.88,0.01,2.14,
May,,1.87,1.18,1.7,5.1,3.16,1.89,1.54,1.73,2.53,1.95,3.05,3.9,1.58,1.04,1.11,0.59,2.84,2.17,0.72,
June,,0.39,0.78,0.53,2.04,0.02,3.05,2.6,3.1,1.75,0.5,3.94,2.79,2.15,1.13,4.06,2.13,0.75,0.82,2.01,
July,,0.6,4.27,1.06,3.53,2.51,1.67,2.35,1.76,1.07,2.4,4.87,3.11,2.12,0.67,0.64,5.04,2.3,3.57,5.6,
August,,1.84,3.5,2.6,3.38,2.96,1.25,4.04,3.25,1.47,5,4.53,0.69,1.08,3.46,2.51,0.05,1.01,2.16,5.1,
September,,0.86,1.85,3.16,4.24,4.38,0.67,5.72,2.06,0.52,4.47,1.45,3.87,1.96,3.14,2.79,3.34,3.49,2.06,1.1,
October,,1.45,1.78,6.53,5.23,4.42,2.67,2.96,6.79,5.91,2.65,0.56,6.06,2.28,1.88,5.42,1.48,5.72,2.49,5.61,
November,,2.63,1.83,2.4,4.55,3.39,10.11,4.07,3.39,10.47,5.28,6.37,2.2,0.78,1.65,7.85,3.07,1.73,5.05,6.86,
December,,2.09,4.97,3.62,6.04,3.99,0.5,4.26,2.59,9.55,4.08,1.08,1.75,1.02,9.51,5.26,4.28,4.03,4.34,1.89,
Total,33.5,18.17,35.74,36.64,44.42,39.09,33.62,41.17,36.59,37.29,37.8,34.93,32.65,26.12,31.19,40.16,33.94,40.21,27.1,40.02,
,,,,,,,,,,,,,,,,,,,,,
1921 1922 Columns marked as needing to be transposed Corrected columns given here,,,,,,,,,,,,,,,,,,,,,
1921 1922 Totals from Iwerne Minster House Gdns are 17.9 and 36.77 which confirm columns were misaligned,,,,,,,,,,,,,,,,,,,,,
1927 Aug 15 Gauge moved 90ft E,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
