HOLME-ON-SPALDING-MOOR - VICARAGE VICINITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE815389,Long,-0.763,Lat,53.840,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953
January,,3.27,2.68,1.40,2.91,0.71,2.94,1.34,3.08,3.08,1.84,2.76,1.52,2.26,1.42,2.52,1.63,4.87,2.08,2.75,2.20,1.29,1.86,1.79,2.18,3.44,2.70,2.28,4.08,1.93,2.24,2.89,3.43,2.49,3.67,2.61,2.63,4.56,0.64,1.29,1.64,1.65,0.82
February,,1.55,0.71,0.66,2.19,3.25,0.60,2.25,1.44,1.03,0.15,2.78,3.69,1.12,3.42,1.66,1.46,1.70,0.67,0.45,2.51,0.59,4.14,1.01,2.30,2.23,3.34,1.27,1.06,2.17,3.05,1.28,0.51,2.15,2.07,2.23,1.23,1.01,0.58,3.34,2.29,0.53,1.75
March,,2.93,2.19,1.77,0.85,2.99,1.36,1.04,2.78,1.77,1.09,1.74,1.67,1.19,1.05,0.72,1.16,2.34,0.15,1.51,0.96,1.82,2.49,1.94,0.85,1.12,2.79,0.24,2.14,1.82,2.15,1.49,0.34,0.51,0.81,1.17,3.81,0.65,1.20,1.49,2.74,2.23,0.37
April,,0.13,2.07,0.51,0.67,1.93,2.14,1.17,1.49,3.36,1.22,1.61,1.44,1.93,2.47,1.80,1.99,1.02,0.91,2.15,3.34,2.06,1.26,2.14,2.19,1.66,4.38,0.14,1.16,1.50,1.24,0.98,1.05,2.96,1.47,,1.25,1.37,2.07,2.36,1.01,0.99,1.64
May,,2.56,2.04,1.60,1.51,2.97,1.02,2.37,0.79,2.02,1.70,1.50,2.98,3.68,3.32,1.70,1.16,0.98,1.36,1.32,2.44,6.78,2.65,1.37,0.45,1.56,2.62,3.07,1.91,1.21,1.53,2.73,2.67,1.03,1.52,,0.75,1.52,1.76,1.75,2.52,1.03,
June,,5.53,1.02,1.33,0.28,1.73,1.17,0.92,0.69,1.40,0.16,1.20,0.74,1.96,0.09,6.47,2.59,3.93,0.81,1.47,5.23,0.49,2.66,1.40,2.57,2.75,1.62,2.50,2.31,0.44,0.74,1.14,1.85,2.73,2.63,,2.38,4.31,1.31,1.31,1.65,1.90,
July,0.73,4.27,0.26,4.17,4.49,2.26,2.05,4.45,3.41,6.15,0.77,4.87,5.12,2.90,0.96,2.02,2.95,0.65,1.86,4.79,3.45,2.72,1.27,1.71,0.40,3.61,1.61,3.28,5.90,7.50,3.68,2.67,0.77,1.70,1.80,,1.83,1.03,2.30,3.03,1.63,3.09,
August,2.46,3.87,0.83,2.26,3.02,2.68,5.25,2.29,2.48,1.76,3.55,3.14,2.88,2.90,2.93,3.20,3.03,3.56,2.37,4.47,3.50,1.16,0.45,2.59,2.11,1.77,0.96,2.73,2.78,1.13,3.46,2.42,3.71,3.57,2.34,4.12,0.31,3.53,1.61,3.29,5.09,1.23,
September,3.01,1.52,1.44,1.25,0.81,1.11,0.96,5.15,2.07,1.24,0.70,1.73,3.20,2.34,3.10,0.76,4.11,0.24,0.51,3.16,2.65,2.27,1.96,2.17,4.14,2.30,0.90,2.58,1.22,1.17,0.63,1.84,3.16,5.21,1.71,4.63,0.83,1.17,0.52,2.81,1.38,2.99,
October,1.84,2.41,2.70,1.83,1.01,3.52,3.41,1.15,4.30,1.71,1.47,0.98,1.45,3.51,2.71,2.20,2.03,3.09,2.56,2.28,1.41,3.35,5.56,1.80,3.84,1.72,2.27,3.47,2.77,3.17,2.86,2.00,1.61,2.55,3.16,0.59,0.72,1.28,2.71,1.28,1.10,2.13,
November,2.79,3.31,2.19,2.28,1.72,2.51,1.75,1.52,2.32,1.07,1.86,1.29,2.37,1.59,2.15,2.92,2.56,2.67,4.19,2.86,3.75,1.35,2.22,1.80,4.20,3.27,2.07,2.82,4.01,3.98,3.24,0.93,2.64,3.59,0.66,5.33,1.48,0.80,3.12,3.82,4.64,1.93,
December,3.74,2.03,1.59,4.66,5.38,2.38,1.50,3.47,3.89,2.55,2.51,2.35,3.15,2.65,2.65,0.64,2.27,1.57,4.60,1.73,0.86,1.43,0.68,4.13,2.55,1.41,3.41,4.86,1.78,2.18,0.47,2.13,1.14,1.64,1.52,2.54,1.68,1.71,2.02,2.48,2.02,1.59,
Total,,33.38,19.72,23.72,24.84,28.04,24.15,27.12,28.74,27.14,17.02,25.95,30.21,28.03,26.27,26.61,26.94,26.62,22.07,28.94,32.30,25.31,27.20,23.85,27.78,26.84,28.67,29.24,31.12,28.20,25.29,22.50,22.88,30.13,23.36,,18.90,22.94,19.84,28.25,27.71,21.29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Church and Station directions put the initial site in the northern part of Holme Hall grounds, near the vicarage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The initial observer (Mr Pybus) retired from recording in March 1946. Rev. Shepherd resumed readings from the vicarage in August 1946.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Estimated readings for April-July 1946 have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Readings at the vicarage ended in April 1953, and the gauge moved 1/2 mile south to the Park Gates site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
