BROMLEY,,,,,,,,,,
Grid ref,TQ403695,Long,0.015791787,Lat,51.407178,Elevation,221,ft,,
Station no,398,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.59,,,,,,
February,,,,4.66,,,,,,
March,,,,0.98,,,,,,
April,,,,1.24,,,,,,
May,,,,1.81,,,,,,
June,,,,1.34,,,,,,
July,,,,2.17,,,,,,
August,,,,0.55,,,,,,
September,,,,3.6,,,,,,
October,,,,2.1,,,,,,
November,,,,3.7,,,,,,
December,,,,0.96,,,,,,
Total,,,,26.7,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1883 Total corrected,,,,,,,,,,
