BANSTEAD-THE-COUNCIL-HOUSE,,,,,,,,,,
Grid ref,TQ248588,Long,-0.20983,Lat,51.31521,Elevation,550,ft,,
Station no,92/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.93,3.11
February,,,,,,,,,0.1,2.35
March,,,,,,,,,2.95,2.16
April,,,,,,,,,2.74,0.85
May,,,,,,,,,1.21,1.9
June,,,,,,,,,1.75,1.47
July,,,,,,,,,1.39,3.14
August,,,,,,,,,1.16,3.41
September,,,,,,,,,0.15,2.85
October,,,,,,,,,2.55,6.39
November,,,,,,,,,3.77,5.23
December,,,,,,,,3.7,5.54,3.23
Total,,,,,,,,,26.24,36.09
,,,,,,,,,,
SRC_ID 6606,,,,,,,,,,
1958-1975,,,,,,,,,,
