BANSTEAD (THE COUNCIL HOUSE),,,,,,,,,,,,
Grid ref,TQ248588,Long,-0.210689,Lat,51.314633,,,,,,,
Station no,92/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.93,3.11,,
February,,,,,,,,,0.10,2.35,,
March,,,,,,,,,2.95,2.16,,
April,,,,,,,,,2.74,0.85,,
May,,,,,,,,,1.21,1.90,,
June,,,,,,,,,1.75,1.47,,
July,,,,,,,,,1.39,3.14,,
August,,,,,,,,,1.16,3.41,,
September,,,,,,,,,0.15,2.85,,
October,,,,,,,,,2.55,6.39,,
November,,,,,,,,,3.77,5.23,,
December,,,,,,,,3.70,5.54,3.23,,
Total,,,,,,,,,26.24,36.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,26.24,36.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
