HORSHAM-LEONARDS-LEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ221259,Long,-0.26057,Lat,51.01952,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,4.94,3.54,4.13,,2.06,1.47,6.1,3.66,1.69,4.15,1.1,7.3,2.06,2.39,0.55,3.05,1.7,2.96,3.3,1.9,4.25,2.9,0.78,1.39,,,,,3.27,2.02,0.92,2.7,0.32,3.68,4.09,1.01,1.06,2.31,4.47,1.19,5.51,1.39,1.82,1.27,3.35,1.43,2.97,4.8,0.82,4.07,1.54,1.26,3.7,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4,1.51,1.17,,1.67,1.75,1.74,2.03,2.24,2.98,2.49,1.56,2.06,4.2,3.83,3.61,1.21,4.51,2.45,3.75,0.56,0.86,1.63,2.69,,,,,1.82,0.32,0.27,3.53,0.88,2.88,6.31,1.57,1.29,1.51,3.53,0.71,3.09,1.49,1.19,0.53,4.47,1.69,2.47,1.26,4.57,4.83,4.79,1.41,1.28,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.02,2.4,1.4,,1.94,1.68,2.45,1.58,1.12,1.05,3,3.59,1.2,0.95,1.45,2.71,1.73,1.08,1.89,2.73,2.43,2.08,3.82,2.59,,,,,1.57,2.01,3.04,0.45,0.93,0.72,0.98,2.17,2.37,2.9,1.1,3.79,1.53,1.03,2.56,3.96,1.18,2.21,4.56,3.22,5,0.69,4.02,1.97,1.1,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.45,2.28,1,,0.32,4.1,0.99,0.8,1.7,0.82,2.23,3.18,2.96,3.75,2.3,0.77,3.07,1.6,1.7,1.58,1.6,1.2,0.85,2.59,,,,,2.44,2.37,0.56,2.22,1.02,2.6,0.71,2.5,1.08,2.33,1.69,1.32,0.75,3.94,2.5,1.41,2.38,1.84,0.08,3.28,1.68,1.64,1.22,2.09,3.91,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.01,1.5,0.8,,1.01,0.8,3.83,1,0.1,1.87,0.83,2.18,4.24,3.35,0.25,1.01,1.34,2.59,0.1,3.4,3.24,1.51,2.29,1.96,,,,,1.43,0.27,0.36,1.17,4.07,1.52,1.53,1.57,2.46,2.72,1.76,0.63,1.83,2.51,2.84,1.54,2.13,1.55,2.16,2.24,1.25,3.59,2.56,0.79,1.03,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.18,2.76,2.38,0.06,,0.1,3.55,2.74,3.33,2.66,3.15,3.15,1.48,2.25,5.45,2.97,2.57,2.6,1.37,2.39,0.05,0.75,0.88,3.96,0.75,,,,,1.6,0.19,3.09,1.81,2.24,0.97,3.12,1.27,3,3.53,1.17,3.19,2.15,1.49,2.08,3.01,2.31,2.28,3.11,0.35,0.66,0.94,2.52,1.93,1.32,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.58,1.36,4.96,1.86,,1.96,2.54,2.71,2.49,2.05,5.34,0.45,2.78,1.39,3.83,3.46,1.67,3.46,3.18,1.46,0.1,2.85,0.58,5.11,2.95,,,,,6.09,3.68,1.15,0.74,3.03,1.51,1.77,2.18,2.04,3.91,0.6,0.64,0.89,0.95,2.14,2.67,3.04,1.09,1.41,2.79,2.04,4.54,5.29,2.68,4.76,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.41,1.61,2.13,3.97,,2.4,2.56,1.82,2.62,1.73,1.86,2.7,3.41,5.23,5.62,2.1,4.53,1.4,1.5,0.6,0.16,2.56,3.19,1.65,2.85,,,,,2.49,3.34,3.69,2.47,1.04,0.71,1.99,2.72,4.51,4.29,1.44,2.86,0.61,1.93,4.48,2.61,3.19,2.17,7.91,1.44,1.45,2.08,3.29,6.56,1.4,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.21,8.26,2.25,2.5,,2.46,3.03,2.2,1.87,3.55,1.56,4.71,1.8,1.3,3.24,4.91,3.57,2.98,5.23,3.2,6.31,1.1,3.38,1.04,0.9,,,,,3.05,0.37,7.15,2.32,0.88,2.61,1.14,2.13,0.69,3.39,1.75,2.23,1.2,0.61,1.32,3.06,0.3,1.73,3.44,2.99,1.31,2.26,2.24,1.44,5.76,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,8.1,1.6,4.71,2.44,,2.5,1,5.43,4.29,4.49,4.92,1.31,2.45,4.25,1.71,7.74,2.87,8.42,1.95,1.75,4.19,3.52,1.38,2.17,6.22,,,,,3.73,4.16,4.5,0.61,4.23,2.43,2.67,3.55,2.09,6.79,2.71,1.51,4.5,4.95,2.32,6.17,3.18,4.47,4.12,4.68,2.07,3.71,4.67,4.3,1.77,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
