CRANAGE-HALL-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ750683,Long,-2.3757967,Lat,53.211169,Elevation,179,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2773/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.51,3.2,4.26,1.68,1.24,3.39,5.4,4.44,3.37,3.16,1.81,6.56,2.04,0.95,2.05,2.75,0.96,2.1,2.3,4.09,1.25,2.65,2.44,4.32
February,,,,,,,4.9,0.87,2.45,2.6,2.7,1.43,1.58,1.35,2.36,4.55,2.41,3.44,1.11,3.92,1.82,1.9,1.33,2.21,1.87,0.46,1.88,3.67,0.32,1.68
March,,,,,,,1.51,0.77,1.86,2.14,2.58,1.74,1.07,0.61,1.14,0.79,4.07,1.5,1.8,1.33,4.35,1.63,1.55,2.37,2.16,1.1,2.34,1.41,1.34,0.95
April,,,,,,,3.24,0.45,1.12,2.01,1.07,1.4,1.35,1.92,1.25,1.49,2.64,2.42,2.37,2.72,2.49,2.67,3,0.49,1.76,2.24,0.36,0.82,3.54,1.06
May,,,,,,,2.56,2.75,1.05,1.79,1.98,4.2,1.71,3.53,3.07,1.66,2.23,3.4,2.89,0.81,2.8,1.7,1.73,2.28,2.69,0.81,1.09,1.88,1.67,1.71
June,,,,,,,0.88,1.91,2.72,1.31,0.52,0.2,2.57,2.41,2.33,2.94,1.33,5,0.94,1.62,1.11,1.91,1.99,3.69,2.76,2.09,1.13,4.75,1.64,3.26
July,,,,,,,3.32,3.27,4.32,4.15,2.24,3.21,1.86,3.6,1.23,4.44,2.03,5.02,1.28,2.48,1.8,2.06,2.71,3.62,0.59,4.94,4.14,3.57,2.06,2.7
August,,,,,,0.95,1.91,2.71,2.18,0.94,3.57,1.77,2.77,2.14,2.54,6.23,0.15,,1.65,4.57,3.31,1.64,3.11,3.76,0.71,10.04,3.54,2.9,0.7,3.01
September,,,,,,3.16,1.51,1.3,0.97,2.79,0.43,1.04,3.57,3.33,2.02,2.97,1.91,1.57,0.91,3.75,1.75,2.58,2.36,3.14,1.82,1.79,5.97,3.43,0.12,3.54
October,,,,,,3,1.67,3.97,3.27,3.61,3.37,3.96,2.69,3.45,4.24,0.86,0.83,1.88,2.36,1.9,0.99,3.11,1.93,4.85,1.49,2.33,2.58,2.59,2.17,3.84
November,,,,,,,1.62,4.67,4.57,6.64,2.47,2.17,2.33,4.39,0.47,5.7,3.02,1.62,3.69,3.62,6.27,1.99,2.18,4.92,1.34,1.26,1.3,1.63,3.12,5.42
December,,,,,,,3.29,3.08,2.49,2.67,1.31,2.81,1.48,1.82,2.45,4.66,3.58,2.44,2.94,2.79,3.86,,1.23,3.93,2.91,2.4,1.9,3.06,4,2.86
Total,,,,,,,29.92,28.95,31.26,32.33,23.48,27.32,28.38,32.99,26.47,39.45,26.01,,23.98,30.46,32.6,,24.08,37.36,22.4,33.55,27.48,32.36,23.12,34.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11820 CRANAGE: HALL HOSPITAL Start 1936 end 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is Cranage Hall, which became a hospital in 1932. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
