COALBROOKDALE-HORSEHAY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ677073,Long,-2.4790034,Lat,52.662448,Elevation,550,ft.,,,,,,,,,,,,
Station no,RR4282,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4.28,2.19,1.53,,2.21,3.15,1.43,0.9,0.63,0.7,1.91,2.14,,,,,,
February,,,2.75,1.04,1.52,,1.67,2.27,0.92,2.52,1.83,2.4,2.57,1.91,,,,,,
March,,,1.27,3.13,0.89,,2.34,2.32,0.63,0.87,0.63,2.7,1.25,1.11,,,,,,
April,,,3.68,0.99,1.1,,2.69,2.43,1.67,2.59,1.68,0.81,3.35,0.75,,,,,,
May,,,2.16,2.17,2.06,,0.26,1.87,5.28,2.38,2.5,1.1,1.24,1.51,,,,,,
June,,,4.37,2.55,0.43,,2.05,1.36,3.03,2.5,3.57,2.55,4.26,2.29,,,,,,
July,,,4.17,2.81,0.81,,1.86,2.5,1.99,2.89,4.8,1.48,3.73,1.21,,,,,,
August,,,3.28,3.37,2.14,,2.8,3.75,5.26,3.9,0.63,4.1,1.6,0.71,,,,,,
September,,,3.11,2.3,2.43,,3.65,2.39,2.38,2.38,2.83,1.14,1.65,4.35,,,,,,
October,,,5.83,1.86,2.7,,2.78,1.35,3.52,1.16,4.95,2.27,5.09,2.75,,,,,,
November,,,3.22,1.59,3.35,,3.25,1.51,3.17,0.85,1.52,1.76,3.4,3.33,,,,,,
December,,,3.77,0.83,2,,4.41,1.27,2.23,0.55,3.08,2.23,1.55,0.6,,,,,,
Total,,,41.89,24.83,20.96,,29.97,26.17,31.51,23.49,28.65,23.24,31.6,22.66,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is In Horsesay with correct relationship to church. Could be +/- 300 yards. Altitude is from OS map and could be +/- 50 ft. or more. The observer G Rooum had a business in New Street Dawley but this is too far east (NGR SJ685072),,,,,,,,,,,,,,,,,,,,
