BOSTON - COOKS LOCK,,,,,,,,,,,,,,,,,,
Grid ref,TF313432,Long,-0.046,Lat,52.970,Elevation,11,ft,,,,,,,,,,
Station no,2538/1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.87,2.09,1.97,0.97,1.86,3.52,1.11,0.93,2.91,1.48,0.88,1.29,2.27,5.82,1.28,2.00,2.59,3.54
February,0.33,1.84,1.58,1.63,1.06,0.61,0.61,2.89,3.04,0.40,1.76,2.41,3.24,0.95,3.23,3.47,0.14,3.07
March,0.48,0.24,0.60,0.96,3.96,0.44,0.85,0.59,3.34,2.50,0.79,1.64,2.06,0.71,1.52,1.60,2.37,1.29
April,0.75,1.59,1.02,1.10,1.65,0.99,1.74,1.68,2.33,1.11,2.05,0.33,1.35,1.31,0.14,0.62,1.61,0.58
May,2.42,1.07,1.14,1.11,0.28,2.59,1.95,3.76,2.87,2.94,2.25,2.92,2.64,0.71,1.91,2.57,0.43,0.70
June,1.45,2.26,1.85,2.56,3.10,3.56,0.67,1.44,0.90,1.47,3.31,2.85,2.55,3.02,2.00,2.97,0.36,0.61
July,1.17,1.41,1.70,2.01,1.43,1.48,2.31,2.52,1.08,0.35,1.41,1.89,0.40,2.83,2.87,4.29,2.29,3.44
August,1.97,2.49,4.96,3.21,0.01,3.37,1.83,1.92,3.56,2.51,3.14,3.90,0.52,4.12,1.81,1.46,1.17,4.50
September,1.88,3.41,1.05,2.71,1.21,2.13,1.38,3.19,1.74,2.10,0.99,2.37,1.14,1.40,4.43,1.86,0.57,2.45
October,0.76,2.38,2.24,3.07,0.15,1.81,4.10,0.86,0.97,2.01,2.48,2.45,1.44,0.84,1.43,2.22,1.44,4.51
November,1.54,3.31,0.62,4.29,0.88,1.23,2.33,3.84,3.43,2.85,1.70,4.13,1.26,0.82,1.86,1.08,1.63,3.14
December,0.79,1.00,2.19,2.18,1.83,2.68,1.14,1.48,1.13,1.69,0.81,2.25,1.54,1.31,1.97,2.74,3.26,4.25
Total,17.41,23.09,20.92,25.80,17.42,24.41,20.02,25.10,27.30,21.41,21.57,28.43,20.41,23.84,24.45,26.88,17.86,32.08
,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/187,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/190,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# The station continued until 1998 according to MIDAS. (MIDAS src_id = 3931),,,,,,,,,,,,,,,,,,
