"BOSTON (COOKS LOCK)",,,,,,,,,,,,
Grid ref,TF313432,Long,-0.046274,Lat,52.970087,,,,,,,
Station no,2538/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,1.48,0.88,1.29,2.27,5.82,1.28,2.00,2.59,3.54,,
February,3.04,0.40,1.76,2.41,3.24,0.95,3.23,3.47,0.14,3.07,,
March,3.34,2.50,0.79,1.64,2.06,0.71,1.52,1.60,2.37,1.29,,
April,2.33,1.11,2.05,0.33,1.35,1.31,0.14,0.62,1.61,0.58,,
May,2.87,2.94,2.25,2.92,2.64,0.71,1.91,2.57,0.43,0.70,,
June,0.90,1.47,3.31,2.85,2.55,3.02,2.00,2.97,0.36,0.61,,
July,1.08,0.35,1.41,1.89,0.40,2.83,2.87,4.29,2.29,3.44,,
August,3.56,2.51,3.14,3.90,0.52,4.12,1.81,1.46,1.17,4.50,,
September,1.74,2.10,0.99,2.37,1.14,1.40,4.43,1.86,0.57,2.45,,
October,0.97,2.01,2.48,2.45,1.44,0.84,1.43,2.22,1.44,4.51,,
November,3.43,2.85,1.70,4.13,1.26,0.82,1.86,1.08,1.63,3.14,,
December,1.13,1.69,0.81,2.25,1.54,1.31,1.97,2.74,3.26,4.25,,
Total,27.30,21.41,21.57,28.43,20.41,23.84,24.45,26.88,17.86,32.08,,
Calc annual,27.30,21.41,21.57,28.43,20.41,23.84,24.45,26.88,17.86,32.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
