GATESHEAD,,,,,,,,,,,,
Grid ref,NZ268604,Long,-1.583235,Lat,54.937555,,,,,,,
Station no,3555/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.02,0.78,3.17,1.30,3.47,1.24,1.32,2.46,4.59,,
February,,0.71,1.49,1.75,2.42,2.44,2.06,3.38,0.66,2.17,,
March,,1.27,0.04,1.21,1.75,0.99,0.92,3.08,0.53,1.95,,
April,,1.26,2.42,0.80,0.62,1.11,0.40,1.73,1.65,0.80,,
May,,1.82,2.52,3.61,1.93,0.39,1.84,3.51,0.55,2.04,,
June,,3.00,2.42,2.23,3.85,3.03,1.59,2.69,1.68,0.51,,
July,,0.89,2.45,1.68,0.84,2.76,3.65,4.81,1.32,4.27,,
August,,1.94,4.16,5.41,0.97,6.81,4.60,2.38,0.23,3.21,,
September,,3.66,1.39,2.60,1.12,3.35,3.90,1.48,0.78,2.33,,
October,,3.06,1.27,4.23,1.35,1.65,1.58,1.22,1.55,6.84,,
November,,4.02,0.97,3.33,1.57,0.55,1.63,0.56,4.27,2.89,,
December,,2.97,0.74,1.85,2.88,2.33,1.64,3.86,3.50,2.17,,
Total,,26.62,20.65,31.87,20.60,28.88,25.05,30.02,19.18,33.77,,
Calc annual,0.00,26.62,20.65,31.87,20.60,28.88,25.05,30.02,19.18,33.77,,
Difference,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
