GREENFIELD BIRCHEN CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE038048,Long,-1.9431,Lat,53.54,Elevation,1018,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.3,7.4,2.63,5.63,5.4,5.31,8.39,5.61,7.06,4.58,6.18,6.22,11.09,4.89,5.51,3.92,4.28,5.41,5.43,10.47,2.39,6.08,7.74,5.76,3.51,3.95,2.98,4.66,5.19,6.2,7.12,2.08,4,6.48,7.08,7.92,6.06,6.33,3.74,11.95,3.25,4.06,6.12,6.35,2.83,5.29,4.15,7.68,5.05,5.76,5.09,7.56,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.3,6.27,6.39,2.86,1.84,3.2,6.48,9.32,2.77,8.89,1.79,5.58,1,6.74,6.26,2.14,7.66,4.55,1.88,5.6,0.86,1.37,7.52,0.57,5.34,0.41,5.52,3.82,8.49,2.48,5.42,3.7,7.43,2.16,3.67,3.44,6.09,7.72,2.5,4.03,2.92,5.89,4.77,2.4,3.45,4.17,3.31,2.88,4.44,7.42,0.64,3.61,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.2,1.14,3.66,6.3,5.88,7.85,2.69,6.55,3.65,2.81,7.89,4.39,4.95,3.79,3,1.48,2.29,2.64,5.52,3.03,1.36,2.78,0.43,3.41,3.9,3.58,2.37,3.37,4.21,1.84,4.09,4.46,6.05,4.17,2.29,0.95,1.62,2.2,8.5,1.66,2.02,2.99,6.92,3.71,3.02,3.51,3.04,1.71,4.68,3.64,2.95,1.75,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.6,5.02,3.61,1.89,5.02,1.7,2.09,3.7,3.64,2.36,3.5,8.02,2.94,4.46,4.28,2.55,3.48,3.02,5.37,1.43,2.02,4.3,5.85,4.85,2.36,3.75,3.31,2.8,3.77,0.75,2.96,4.07,4.03,2.89,2.94,3.37,3.19,2.44,4.3,2.34,5.13,5.21,3.79,4.07,4.14,1.07,2.82,3.58,1.21,1.84,5.46,2.99,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.7,4.82,1.9,4.75,4.47,3.15,2.07,3.94,2.68,4.16,2.4,7.09,3.01,1.87,5.68,6.9,5.27,5.2,1.84,2.28,3.46,2.81,3.1,5.39,1.77,3.4,0.99,2.15,3.17,4.86,2.94,1.5,3.41,4.69,2.86,5.61,4.31,3.23,3.57,2.34,3.49,2.61,4.38,2.4,3.01,4.27,5.4,2.14,1.44,4.88,3.14,2.75,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.2,4.96,5.13,5.1,3.78,6.88,1.85,3.54,2.35,2.82,2.61,3.55,0.75,4.09,1.77,3.19,0.07,4.76,4.92,6.21,1.32,3.79,7.23,0.73,3.96,2.43,3.42,5.26,2.35,5.16,5.04,1.09,1.78,1.54,4.63,3.93,7.12,4.63,3.07,5.63,1.05,2.94,1.18,3.73,5.38,5.03,4.65,3.77,2.74,6.88,2.31,2.11,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,8.5,6.09,0.47,6.02,1.95,5.05,5.83,3.1,2.46,7.13,3.06,10.6,2.24,7.21,5.23,4.98,2.92,3.63,3.69,2.49,3.19,9.31,5.31,6.26,4.65,5.14,2.76,5.62,3.66,5.3,9.89,6.13,3.48,6,2.98,4.36,2.53,7.41,2.9,2.94,3.38,3.88,4.68,4.13,8.84,7.33,1.63,9.34,6.76,5.46,4.54,11.39,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.8,6.97,3.96,10.05,2.73,4.64,6.28,2.49,8.86,4.64,4.34,3.95,7.66,8.17,5.39,7.07,4.58,5.84,6.8,6.15,7.34,5.61,8.17,2.53,1.91,3.81,2.06,3.67,1.63,3.69,2.52,3.02,8.35,6.22,7.78,4.94,4.83,5.77,0.34,5.48,5.1,6,7.86,4.26,5.48,8.34,0.48,14.02,6.69,5.78,0.67,7.3,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.3,0.49,4.19,2.96,3.14,3.12,0.84,3.64,3.21,15.76,2.2,3.19,1.3,5.53,5.03,5.98,4.61,3.57,7.81,0.94,2.3,5.05,6,5.9,2.55,4.16,6.52,7.33,2.68,2.58,1.88,5.44,0.83,3.82,5.74,5.61,3.52,8.11,2.81,3.54,2.4,8.15,3.43,4.77,3.71,6.88,2.86,6.19,8.07,6.45,0.33,5.01,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,7.4,4.17,4.48,5.98,4.09,4.27,3.22,8.45,8.94,4.83,4.18,1.76,3.08,1.98,5.48,7.23,6.63,4.66,5.03,5.72,6.38,5.99,3.08,9.1,5.53,6.31,10.86,6.1,3.34,10.36,4.2,5.44,6.56,7.98,3.43,4.73,7.15,1.8,1.78,3.17,4.25,3.43,1.15,6.55,2.46,9.25,3.21,3.58,6.77,4.77,4.46,8.83,,,,,,,,,,,,,,,,,,,
