CHESHUNT-NURSERIES,,,,,,,,,,,,,,,,,,,,
Grid ref,TL356019,Long,-0.03925954,Lat,51.699471,Elevation,92,ft,,,,,,,,,,,,
Station no,RR6488,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.05,2.48,1.71,3.7,1.5,0.96,0.82,2.29,2.27,0.62,1.65,2.73,1.9,0.54,1.71,0.67,
February,,,,3.27,1.3,2.91,0.5,0.64,0.84,2.02,0.87,0,1.48,3.01,1.81,0.14,0.36,1.83,0.92,
March,,,,0.97,1.56,1.37,1.6,1.72,3.28,1.6,2.22,1.91,1.27,0.45,1.09,1.75,3.15,2.79,0.88,
April,,,,1.73,1.02,1.9,1.62,0.96,2.16,2.03,1.07,0.82,0.82,0.1,1.85,1.17,0.65,1.38,1.24,
May,,,,1.41,0.55,3.31,4.12,2.2,1.06,4.12,1.51,3.96,1.44,1.14,1.93,0.37,0.27,1.55,2.04,
June,,,,1.89,2.12,1.86,0.27,0.58,1.99,2.03,2.62,1.41,2.89,0.81,1.96,0.42,2.02,2.53,1.18,
July,,,,2.59,2.41,0.37,2.13,1.08,4.06,3.1,4.15,2.48,1.92,2.85,3.42,3.58,0.7,0.4,1.16,
August,,,,1.06,1.1,2.13,0.71,1.94,4.71,2.75,2.76,3.63,3.34,2.56,2.64,2.77,2.83,2.7,1.2,
September,,,,2.78,1.44,3.67,1.28,2.53,1.12,2.7,0.83,0.86,2.63,0.83,0.91,0.99,6.13,2.25,0.21,
October,,,,1.98,1.08,4.32,3.34,1.36,1.18,3.35,1.35,5.24,3.98,3.41,3.82,2.28,3.33,0.51,2.49,
November,,,,2.95,1.95,3.3,2.92,3.46,4.41,1.06,2.54,2,2.14,2.39,2.8,3.82,1.25,0.81,1.19,
December,,,,0.92,2.93,0.97,4.16,1.19,0.96,1.22,0.51,3.79,1.5,2.12,1.9,2.08,3.25,2.21,1.7,
Total,,,,23.6,19.94,27.82,26.35,19.16,26.73,26.8,22.72,28.37,24.03,21.32,26.86,21.27,24.48,20.67,14.88,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note that 1898 values said to be "much too small",,,,,,,,,,,,,,,,,,,,
