BURNHAM-THE-ELMS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU923828,Long,-0.67061328,Lat,51.536568,Elevation,182,ft,,,,,,,,,,,,
Station no,RR7075,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.84,2.11,0.79,1.13,2.34,1.48,,,,,,,,
February,,,,,,,0.54,0.55,0.81,2.02,0.71,0.08,,,,,,,,
March,,,,,,,1.58,1.55,3.03,1.72,1.64,1.16,,,,,,,,
April,,,,,,,1.1,1.05,2.56,1.84,1.48,0.81,,,,,,,,
May,,,,,,,3.83,1.28,0.89,2.69,1.3,2.47,,,,,,,,
June,,,,,,,0.98,1.01,1.89,0.89,2.27,1.75,,,,,,,,
July,,,,,,,2.22,0.85,4.14,1.03,4.75,2.64,,,,,,,,
August,,,,,,,0.64,1.52,1.99,1.98,1.63,3.78,,,,,,,,
September,,,,,,3.93,1.5,2.19,0.92,1.54,0.85,1.61,,,,,,,,
October,,,,,,3.5,3.35,1.34,1.14,2.94,1.01,6.28,,,,,,,,
November,,,,,,2.59,2.69,2.95,3.68,0.88,1.89,1.88,,,,,,,,
December,,,,,,1.02,4.02,1.3,1.48,1.43,0.45,3.15,,,,,,,,
Total,,,,,,,25.29,17.7,23.32,20.09,20.32,27.09,,,,,,,,
