LOCHWINNOCH GARTHLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS3442958614,Long,-4.642447,Lat,55.792379,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,5.02,6.14,3.41,9.9,2.17,5.11,1.54,5.54,9.02,11.01,5.9,7.36,12.31,6.89,4.96,8,5.05,9.01,8.28,8.19,6.64,5.04,4.89,6.37,6.2,9.8,4.46,8.17,6.58,8.22,,7.01,9.12,8.27,7.68,10.13,10.7,,,
February,,2.24,4.96,8.08,14.41,0.78,4.07,5.35,7.79,4.02,6.32,2.63,2.72,11.3,4.79,6.01,5.24,7.06,6.21,4.43,6.28,11.93,4.88,5.68,6.75,8.34,7.77,2.77,9.9,1.34,10.89,,7.7,6.56,2.79,6.51,8.22,4.86,,,
March,,6.48,1.82,3.47,6.24,6.42,9.3,8.38,2.21,6.51,0.68,2.23,5.97,10.02,2.8,6.31,6.67,8.45,6.48,3.5,3.13,2.44,7.31,6.97,7.62,4.28,1.9,3.79,2.13,5.68,6.86,,3.13,3.48,1.25,4.74,8.28,5.89,,,
April,,1.06,2.23,3.01,2.69,2.91,4.68,3.97,3.82,6.17,4.4,6.05,1.81,2.58,9.3,3.9,2.9,3.53,2.67,6.09,5.27,4.34,3.72,4.43,4.47,5.4,6.03,2.73,1.12,3.85,3.06,,4.05,4.81,4.06,8.66,3.65,5.57,,,
May,,3.35,6.45,3.14,3.98,0.63,1.1,2.32,2.09,4.31,4.93,2.23,3.15,2.9,3.72,2.8,7.22,5.29,3.94,3.48,3.58,4.13,2.11,4.66,2.81,1.68,6.57,4.96,2.96,1.23,8.2,,6.82,2.84,5.72,10.16,4.17,4.02,,,
June,,1.24,5.16,2.65,4.12,2.58,4.79,8.55,3.55,3.09,3.61,4.11,1.78,2.26,2.51,1.43,1.51,6.51,3.18,4.09,2.17,3.5,6.38,3.81,2.09,2.73,2.71,3.85,2.78,6.6,3.06,,2.77,2,4.19,1.3,4.06,6.42,,,
July,,1.3,3.93,4.15,3.14,4.93,5.94,4.69,3.46,5.57,3.77,2.95,5.64,5.43,3.99,4.17,4.3,4.03,5.1,5.64,4.44,3.49,3.13,2.02,3,5.74,3.06,2.27,7.22,2.12,5.79,,4.41,7.77,5.45,2.57,5.43,7.56,,,
August,,6.77,10.81,4.1,6.76,7.36,3.28,7.68,9.21,2.11,7.54,7.01,5.57,9.73,6.72,5.96,6.66,9.17,4.53,4.38,11.23,5.25,4.74,2.02,6.65,3.37,5.03,4.54,4.49,4.34,8.56,,4.96,8.61,5.06,5.95,5.82,6.85,,,
September,,9.66,9.54,5.01,0.18,3.05,6.24,5.29,8.66,9.16,5.98,4.33,2.44,5.57,6.55,4.44,3.31,2.08,10.54,3.51,2.8,3.44,3.77,2.47,3.39,1.86,3.07,5.96,9.19,5.29,4.1,,4.67,11.49,7.19,4.66,5.84,9.68,,,
October,,7.72,6.33,9.85,4.71,5.15,5.71,3.68,5.06,6.8,8.73,6.95,3.52,10.02,3.55,5.67,8.37,7.18,2.01,10.37,4.45,6.01,8.1,3.5,2.91,3.68,9.31,12.71,9.57,1.34,2.36,,4.4,9.51,5.59,6.91,10.47,8.03,,,
November,,6.7,7.98,6.65,8.19,7.13,3.94,3.68,8.07,7.53,8.5,6.14,4.1,6.56,5.71,7.8,6.22,6.67,6.24,5.11,4.74,9.28,7.51,10.19,9.71,2.62,7.31,14.56,6.62,7.07,7.82,,5.77,7.56,7.06,1.62,8.76,7.54,,,
December,,12.38,5.81,10.23,6.63,8.46,9.84,8.91,10.5,7.33,12.22,8.12,7.22,5.68,6.79,6.58,8.06,9.22,7.07,9.64,7.68,10.35,12.29,6.99,9.17,7.7,8.21,5.9,7.95,13.14,7,,6.16,7.64,8.79,6.25,5.43,2.61,,,
Total,,63.92,71.16,63.75,70.95,51.57,64,64.04,69.96,71.62,77.69,58.65,51.28,84.36,63.32,60.03,68.46,74.24,66.98,68.52,63.96,70.8,68.98,57.63,64.94,53.6,70.77,68.5,72.1,58.58,75.92,,61.85,81.39,65.42,67.01,80.26,79.73,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
