CARLISLE BUNKERS HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY367547,Long,-2.9878,Lat,54.8832,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.57,3.03,1.66,0.1,2.07,1.66,1.03,2,3.38,1.09,2.59,3.57,2,1.37,3.77,2.28,2.39,2.23,2.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.36,0.73,0.79,0.75,1.84,0.75,0.46,1.22,0.85,1.42,0.78,1.37,1.78,1.66,2.18,1.72,2.01,3.06,1.7,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.63,0.62,0.81,1.45,0.06,2.47,1.75,2.59,2.59,2.94,1.76,0.47,2.97,1.09,1.59,1.41,3.35,0.47,0.47,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.19,1.3,0.07,1.44,1.15,1.18,1.06,1.98,1.19,0.56,2.22,2.59,1.15,0.8,0.69,2.92,2.5,1.87,1,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.36,0.88,3.43,1.48,2.83,1.14,2.95,0.05,1.81,1.22,3.07,2.38,1.87,4.31,1.06,2.49,1.99,2.02,1.35,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.88,2.15,3.45,2.72,3.91,2.41,2.16,1.53,3.11,1.92,2.85,2.61,2.39,0.78,1.94,1.16,0.99,1.17,1.63,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.11,2.82,1.5,2.82,1.28,2.35,3.4,3.11,1.4,4.02,4.16,0.63,0.54,1.1,2.97,3.41,0.28,0.74,0.86,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.45,1.91,3.28,3.1,4.14,1.93,3.28,2.41,3.68,3.41,3.47,2.58,1.72,3.67,4,1.66,3.12,0.87,2.33,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.95,2.07,1.82,1.2,2.17,2.9,3.72,4.19,1.06,4.62,2.61,4.71,4.61,0.89,3.97,2.31,2.12,4.25,1.44,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.69,2.35,2.33,4.32,2.71,2.26,3.07,1.38,4.5,1.82,4.14,4,3.41,5,1.28,1.86,2.19,1.92,3.87,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.19,1.24,1.89,1.37,1.14,2.09,1.16,3.61,1.25,6.7,1.7,3.18,1.92,2.63,3.59,0.58,1.65,3.06,2.21,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,5.44,0.51,2.18,0.6,3.62,2,1.75,2.36,2.19,1.94,2.31,2.27,1.93,1.41,3.46,1.27,4.41,2.24,0.97,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,31.82,19.61,23.21,21.35,26.92,23.14,25.79,26.43,27.01,31.66,31.66,30.36,26.29,24.71,30.5,23.07,27,23.9,20.5,23.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1857 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
