BAGBOROUGH-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST167334,Long,-3.19082,Lat,51.09433,Elevation,470,ft,,,,,,,,,,,,,
Station no,2080,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.71,2.99,3.71,2.55,4.06,4.08,5.16,4.33,4.82,1.18,5.76,3.24,3.81,2.09,3.67,0.89,3.85,5.04,4.03,,
February,1.17,0.2,3.75,7.58,0.44,3.55,2.33,3.61,3.09,1.04,1.02,2.58,0.08,4.08,0.42,3.45,3.07,5.11,1.17,,
March,3.66,1.64,2.81,1.25,1.38,0.94,0.99,3.73,2.89,0.26,3.03,1.23,2.53,3.06,2.51,1.08,3.93,5.5,0.15,,
April,3.82,0.98,3.51,2.34,3.15,2.13,2.43,1.53,2.12,1.35,3.32,2.64,3.09,1.39,3.46,4.7,2.6,3.06,0.15,,
May,3,2.29,1.03,2.39,3.15,4.94,1.87,1.31,0.58,2.75,1.48,3.33,4.14,2.2,1.06,2.03,1.18,2.26,2.44,,
June,2.15,0.56,0.75,0.78,3.52,0.02,3.19,2.48,2.39,2.54,0.75,2.78,1.05,2.03,1.47,2.56,2.9,0.74,,,
July,4.93,0.52,3.41,3.65,4.38,2.38,1.95,4.74,2.12,1.66,2.26,3.35,2.48,1.92,0.23,1.03,5.06,2.57,,,
August,1.4,1.94,3.2,2,4.33,4.23,1.7,3.47,2.51,3.29,3,5.9,1.84,1.03,2.82,2.15,0.65,0.79,,,
September,1.5,1.72,2.73,2.97,4.83,3.97,1.64,6.79,1.49,0.62,5.77,1.65,4.44,2.18,2.86,4.23,3.44,3.34,,,
October,3.01,1.1,1.92,5.69,5.92,3.36,5.06,2.58,5.69,5.63,3.5,0.84,6.58,3.7,3.06,5.31,2.26,3.71,,,
November,1.99,2.15,1.86,2.58,3.38,2.73,9.1,3.91,4.15,9.63,5.24,5.2,2.58,0.96,2.64,6.37,3.29,1.88,,,
December,3.44,2.72,5.63,3.42,4.77,5.01,0.62,3.02,3.64,8.37,4.79,1.87,2.08,1.4,8.52,4.91,3.23,3.45,,,
Total,34.78,18.81,34.31,37.2,43.31,37.34,36.04,41.5,35.49,38.32,39.92,34.61,34.7,26.04,32.72,38.71,35.46,37.45,,,
,,,,,,,,,,,,,,,,,,,,,
BR has no entry for 1919,,,,,,,,,,,,,,,,,,,,,
