FORT AUGUSTUS PUBLIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 38100 09179,Long,-4.677483,Lat,57.144874,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5702/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.78,10.11,5.61,11.5,8.64,10.57,4.77,1.71,8.48,8.56,4.35,0.79,0.46,3.16,4.25,,,,,,,
February,,,,,,,,,,0.77,0.78,5.54,0.46,4.41,2.27,8.34,2.23,4.36,5.19,6.82,1.43,3.69,2.21,6.37,,,,,,,
March,,,,,,,,,,0.8,2.2,0.84,2.69,1.43,5.1,3.32,1.96,1.89,7.03,4.4,2.63,1.61,0.97,4.97,,,,,,,
April,,,,,,,,,,1.96,1.8,2.71,5.04,4.13,5.59,2.71,1.81,0.44,1.41,2.45,2.78,2.2,1.32,5.01,,,,,,,
May,,,,,,,,,,2.41,3.74,4.56,4.53,0.88,3.72,1.11,1.75,1.68,2.67,0.97,1.48,1.82,2.12,3.28,,,,,,,
June,,,,,,,,,,2.88,3.08,3.57,0.44,1.46,1.37,3.66,0.97,1.91,4.48,1.86,1.09,0.79,2.19,4.82,,,,,,,
July,,,,,,,,,,2.6,2.55,3.9,5.46,3.16,3.75,1.75,4.62,3.16,4.81,5.49,6.93,3.29,2.13,,,,,,,,
August,,,,,,,,,,4.04,5.18,2.24,2.4,4.03,2.42,4.33,2.66,3.18,3.03,1.24,2.1,4.96,4.63,,,,,,,,
September,,,,,,,,,,2.67,4.19,1.58,6.34,1,4.06,6.72,2.76,4.34,3.54,1.44,2.09,1.72,6.07,,,,,,,,
October,,,,,,,,,,7.38,7.18,5.95,8.26,6.85,6.61,9.38,6.72,2.67,9.3,1.57,4.83,4.63,7.47,,,,,,,,
November,,,,,,,,,,5.91,7.82,4.98,8.84,2.16,1.73,4.4,3.71,0.58,9.49,6.72,6.87,5.28,1.75,,,,,,,,
December,,,,,,,,,,10.07,3.92,6.32,8.17,1.07,4.75,1.47,9.04,1.3,4.93,2.1,5.89,5.75,7.21,,,,,,,,
Total,,,,,,,,,,42.27,52.55,47.8,64.13,39.22,51.94,51.96,39.94,33.99,64.44,39.41,38.91,36.2,41.23,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5702/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
