"SHIPSTON-ON-STOUR",,,,,,,,,,,,
Grid ref,SP213407,Long,-1.690709,Lat,52.064269,,,,,,,
Station no,2441/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.41,1.79,1.11,1.12,2.49,3.95,1.37,2.36,4.19,4.66,,
February,3.27,0.74,1.25,2.62,1.33,0.45,2.46,3.24,0.07,2.00,,
March,3.80,2.61,1.36,2.49,1.75,0.75,2.30,1.25,2.54,1.06,,
April,2.89,1.88,1.99,0.48,0.79,1.19,0.27,0.77,2.58,0.69,,
May,2.57,3.56,1.52,2.44,4.31,0.73,1.20,2.75,0.59,1.66,,
June,1.06,1.51,2.67,2.87,3.25,2.32,0.86,3.46,0.62,2.68,,
July,1.09,0.30,2.84,2.40,0.14,1.92,4.66,2.96,1.48,3.79,,
August,4.78,3.96,2.65,3.34,0.35,3.99,4.51,2.47,1.21,3.67,,
September,2.76,0.94,2.44,2.45,1.55,2.76,3.50,3.12,0.10,4.39,,
October,0.98,3.72,2.40,3.10,1.47,1.43,1.12,2.78,2.20,5.05,,
November,6.25,3.21,0.83,5.61,1.99,0.78,1.65,2.68,2.92,4.11,,
December,1.77,2.99,0.96,2.13,2.35,3.54,2.44,2.61,4.50,3.30,,
Total,33.63,27.21,22.02,31.05,21.77,23.81,26.34,30.45,23.00,37.06,,
Calc annual,33.63,27.21,22.02,31.05,21.77,23.81,26.34,30.45,23.00,37.06,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
