SHIPSTON-ON-STOUR (COMPTON SCORPION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP213407,Long,-1.690709,Lat,52.064269,Elevation,364,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2441/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.98,2.47,2.99,4.36,1.8,1.96,2.02,1.58,4.67,1.05,0.38,2.41,1.79,1.11,1.12,2.49,3.95,1.37,2.36,4.19,4.66
February,,,,,,,,,,2.41,2,0.63,1.54,0.9,1.82,1.76,1.19,0.83,1.07,4.89,3.27,0.74,1.25,2.62,1.33,0.45,2.46,3.24,0.07,2
March,,,,,,,,,,1.65,2.17,1.72,0.87,0.36,0.91,0.78,5.12,1,1.44,1.15,3.8,2.61,1.36,2.49,1.75,0.75,2.3,1.25,2.54,1.06
April,,,,,,,,,,3.2,0.83,0.79,0.67,1.36,0.84,1.47,2.06,2.29,1.78,2.08,2.89,1.88,1.99,0.48,0.79,1.19,0.27,0.77,2.58,0.69
May,,,,,,,,,,2.17,1.81,2.9,2.8,2.25,2.03,2.72,1.51,3.21,2.39,2.34,2.57,3.56,1.52,2.44,4.31,0.73,1.2,2.75,0.59,1.66
June,,,,,,,,,,0.94,1.72,0.31,1.74,2.23,2.64,2.37,1.04,2.08,0.38,1.32,1.06,1.51,2.67,2.87,3.25,2.32,0.86,3.46,0.62,2.68
July,,,,,,,,,,2.68,4.6,2.22,0.7,1.59,1.2,1.46,3.02,0.96,1.07,3.33,1.09,0.3,2.84,2.4,0.14,1.92,4.66,2.96,1.48,3.79
August,,,,,,,,,,0.12,3.88,2.78,1.34,1.68,1.74,4.63,0.39,2.99,0.78,3.81,4.78,3.96,2.65,3.34,0.35,3.99,4.51,2.47,1.21,3.67
September,,,,,,,,,,0.96,0.37,0.95,2.54,2.79,1.81,3,1.85,2.82,2.13,2.83,2.76,0.94,2.44,2.45,1.55,2.76,3.5,3.12,0.1,4.39
October,,,,,,,,,,3.21,2.13,2.58,1.94,3.67,3.04,0.64,0.38,2.55,5.51,0.45,0.98,3.72,2.4,3.1,1.47,1.43,1.12,2.78,2.2,5.05
November,,,,,,,,,,6.01,2.99,1.9,1.56,3.94,0.37,4.72,1.7,1.11,2.48,4.22,6.25,3.21,0.83,5.61,1.99,0.78,1.65,2.68,2.92,4.11
December,,,,,,,,,,1.37,1.68,3.5,0.95,1.92,3.52,1.88,1.62,2.79,1.31,1.36,1.77,2.99,0.96,2.13,2.35,3.54,2.44,2.61,4.5,3.3
Total,,,,,,,,,,26.7,26.65,23.27,21.01,24.49,21.88,27.45,21.46,27.3,21.39,28.16,33.63,27.21,22.02,31.05,21.77,23.81,26.34,30.45,23,37.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,SHIPSTON-ON-STOUR ,01/01/1939,31/12/1982,SP2140040659,,,,,,,,,,,,,,,,,,,,,,,,,,
