OKEHAMPTON-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX587938,Long,-4.00334,Lat,50.72659,Elevation,860,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1850/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.9,4.85,5.79,11.45,4.74,4.4,6.78,4.99,10.84,2.38,1.93,7.73,6.3,1.1,2.91,7.33,6.76,5.35,6.11,9.53,4.92
February,,,,,,,,,,5.64,6.89,0.6,4.33,1.48,5.75,6.03,1.56,3.34,2.79,9.81,7.58,1.41,2.52,6.2,4.86,0.27,10.07,6.97,0.47,6.69
March,,,,,,,,,,3.88,6.31,3.76,1.95,0.34,2.2,3.04,10.55,3.15,1.98,2.95,5.95,4.98,1.96,4.66,2.33,3.35,5.52,1.36,6.52,3.5
April,,,,,,,,,,5.18,1.43,3.53,2.08,2.52,1.64,3.72,4.61,3.2,3.18,3.56,4.69,4.35,4.77,1.3,1.73,1.61,0.44,1.5,5.21,4.47
May,,,,,,,,,,1.78,3.17,8.35,5.42,1.42,5.63,6.67,3.73,3.17,3.26,3.08,5.04,3.59,4.11,4.49,4.81,1.28,2.41,5.08,1.78,2.71
June,,,,,,,,,,1.04,1.67,1.32,3.3,4.9,5.65,4.08,3.64,2.69,0.66,3.4,2.12,2.51,2.44,5.1,3.69,2.95,2.84,3.37,1.72,2.04
July,,,,,,,,,,7.46,1.93,2.42,5.05,3.07,5.21,2.48,2.9,2.62,2.55,4.83,3.54,1.62,4.24,5.86,2.62,4.21,5.54,3.74,2.54,6.43
August,,,,,,,,,,0.52,7.69,3.71,5.42,4.36,2.54,6.54,0.88,4.13,3.27,7.37,5.73,10.08,3.32,4.57,0.74,4.23,4.87,5.99,2.09,3.83
September,,,,,,,,,,3.19,0.5,3.76,5.69,4.54,2.88,8.39,3.36,2.65,3.85,7.53,5.22,5.31,5.8,4.65,2.6,8.21,5.42,6.97,0.49,9.92
October,,,,,,,,,,4.94,3.85,5.17,4.65,8.17,6.68,3.1,2.56,5.79,10.23,2.17,1.53,6.02,5.28,5.63,3.08,2.76,4.55,6.19,7.03,12.5
November,,,,,,,,,,11.89,4.67,1.55,4.35,10.5,1.07,10.49,4.55,3.26,6.45,10.51,9.73,6.93,4.2,10.72,6.13,2.99,3.46,4.7,11,8.29
December,,,,,,,,,,4.8,4.46,8.91,4.23,5.38,8.67,6.67,5.87,11.71,3.8,5.47,6.15,5.14,2.04,5.74,9.13,7.2,5.08,6.35,13.33,7.27
Total,,,,,,,,,,53.22,47.42,48.87,57.92,51.42,52.32,67.99,49.2,56.55,44.4,62.61,65.01,58.24,41.78,61.83,49.05,45.82,55.55,58.33,61.71,72.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as OKEHAMPTON W WKS SRC_ID 8848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Mar Inspection Alt appears to be 910 from 1 inch OS map Better site available if cleared of scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
