ROTHESAY (DHU LOCH WATER WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS071624,Long,-5.080375,Lat,55.816214,Elevation,273,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5381/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.2,6.59,6.79,3.93,3.25,0.83,8.35,5.04,5.34,3.72,6.31,5.73,7.34,5.3,3.71,5.83,5.94,3.03,5.25,3.69,3.68,6.09,5.92,2.1,3.98
February,,,,,,2.57,5.24,2.36,4.97,1.7,4.29,2.3,4.93,1.52,7.19,3.32,0.94,4.59,4.52,4.29,2.56,2.13,1.99,4.27,3.25,1.4,3.5,3.55,1.5,4.3
March,,,,,,3.01,1.81,3.21,3.46,4.39,3.14,3.87,2.54,1.36,3,2.41,4.36,3.85,2.65,2.89,3.56,3.94,1.12,3.9,1.44,2.99,5.28,1.1,4.08,3.25
April,,,,,,1.82,3.19,0.4,3,2.44,1.61,2.34,4.07,2.66,2.48,1.89,4.96,2.97,5.68,4.11,2.48,2.09,2.1,2.29,5.07,1.9,2.42,1.74,3.67,4.51
May,,,,,0.76,3.25,1.64,4.39,1.38,2.05,2.19,3.6,4.05,3.44,3.5,0.69,4.6,1.84,2.78,1.36,2.72,2.11,2.47,3.17,3.55,2.46,2.54,3.45,1.31,2.84
June,,,,,4.24,2.25,4.55,7.8,2.81,1.28,2.01,2.55,4.74,3.99,4.3,3.69,3.85,4.82,1.3,2.98,2.66,3.3,1.78,4.33,4.44,3.33,2.8,3.08,3.69,2.88
July,,,,,2.47,5.04,5.09,4.69,7.08,3.98,3.47,4.57,3.12,4.16,2.78,4.25,4.3,4.32,2.35,6.33,3.35,3.9,5.86,4.66,1.21,5.16,6.38,6.01,7.29,5.35
August,,,,,1.96,3.76,4.16,2.54,1.89,2.37,5.01,5.81,8.1,3.57,1.85,3.32,0.03,7.71,5.55,5.44,4.19,7.19,4.75,5.67,1.48,6.64,5.07,5.8,0.92,4.03
September,,,,,6.57,4.11,2.65,4.72,4.58,3.96,2.87,6.11,4.65,5.95,5.88,8.03,4.77,7.24,2.47,10.73,4.29,3.36,6.06,8.11,4.67,4.45,3.93,3.93,1.62,3.46
October,,,,,9.01,4.74,3.18,9.02,2.6,7.17,5.15,6.44,8.65,6.41,5.3,0.52,2.25,9.04,8.33,5.99,2.08,5.42,4.04,9.18,3.8,3.13,5.26,4.22,5.98,4.09
November,,,,,6.1,3.27,1.22,8.79,7.72,7.76,4.16,1.21,3.73,7.12,0.86,5.89,7.44,4.88,6.73,4.32,8.08,2.78,6.93,8.19,3.41,2.66,2.81,2.18,5.54,6.92
December,,,,,3.74,6.24,3.13,5.55,2.74,6.4,2.5,7,3.05,5.61,5.75,5.76,2.64,7.96,7.46,1.79,8.91,7.08,4.98,6.5,9.11,4.46,4.37,6.44,9.08,5.91
Total,,,,,,44.26,42.45,60.26,46.16,46.75,37.23,54.15,56.67,51.13,46.61,46.08,45.87,66.56,55.12,53.94,50.71,49.24,45.11,65.52,45.12,42.26,50.45,47.42,46.78,51.52
