WIRKSWORTH-HOLLOWAY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK323563,Long,-1.5190209,Lat,53.102925,Elevation,450,ft.,,,,,,,,,,,,
Station no,RR6192,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,3.21,2.15,0.33,0.58,3.89,4.46,4.62,3.25,5.55,2.57,1.25,1.33
February,,,,,,,,,2.04,3.99,3.11,6.39,2.89,3.52,3.67,3.68,0.83,0.62,1.88,2.82
March,,,,,,,,,1.15,1.65,3.08,4.39,2.63,1.52,3.17,2.02,3.64,1.89,3.24,4.28
April,,,,,,,,,1.51,3.38,1.66,1.36,4.36,2.77,2.72,2.12,2.44,1.43,2.38,3.73
May,,,,,,,,,5.29,3.53,2.12,2.2,2.38,1.43,1.52,2.83,7.47,2.11,1.31,3.31
June,,,,,,,,,3.3,6.38,3.29,2.17,5.14,3.34,1.57,3.57,1.15,0.59,2.28,0.49
July,,,,,,,,,0.48,3.81,6.15,1.56,3.87,2.83,4.08,0.89,3.34,1.5,5.41,3.71
August,,,,,,,,,8.45,5.45,3.42,6.3,3.11,1.5,1.82,2.96,1.73,1.97,3.39,
September,,,,,,,,,2.64,3.29,4.19,2.28,2.29,7.22,1.85,3.1,1.95,3.37,1.14,
October,,,,,,,,,3.99,1.24,6.37,5.77,7.06,4.38,1.46,7.94,6.15,2.37,0.91,
November,,,,,,,,,3.15,2.2,3.92,4.45,5.47,3.83,1.62,3.63,2.24,2.7,6.08,
December,,,,,,,,,1.9,1.9,4.89,3.28,7,1.9,3.56,1.04,4.92,2.72,3.03,
Total,,,,,,,,,37.11,38.97,42.53,40.73,50.09,38.7,31.66,37.03,41.41,23.84,32.3,
,,,,,,,,,,,,,,,,,,,,
NGR is in Holloway at the stated altitude. ,,,,,,,,,,,,,,,,,,,,
"Cannot locate observer, R Wildgoose.",,,,,,,,,,,,,,,,,,,,
NGR could be +/- 500m N or S. could be more,,,,,,,,,,,,,,,,,,,,
