"HORNSEY (HIGH STREET)",,,,,,,,,,,,
Grid ref,TQ307894,Long,-0.114786,Lat,51.588303,,,,,,,
Station no,88186,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.84,1.76,0.90,1.00,2.30,3.54,1.53,2.55,2.17,1.85,,
February,5.06,0.83,1.66,2.45,1.58,0.25,3.00,2.34,0.04,2.61,,
March,3.44,2.59,0.44,2.34,1.07,0.94,1.09,1.04,1.88,1.45,,
April,2.83,1.33,2.56,0.28,0.43,1.14,0.20,1.58,2.34,0.56,,
May,2.08,1.15,1.23,1.81,4.41,0.51,1.02,2.45,0.67,1.71,,
June,1.10,1.55,1.45,3.50,2.33,2.66,0.56,4.89,0.88,1.35,,
July,1.19,0.59,3.58,2.51,0.30,4.33,3.84,1.74,1.15,3.44,,
August,4.57,2.38,2.00,3.65,1.44,5.67,2.30,2.99,2.15,2.19,,
September,2.61,3.41,1.72,1.65,1.75,2.18,2.21,3.66,0.05,4.74,,
October,0.86,2.66,3.03,2.16,2.91,2.27,2.09,2.84,1.91,5.19,,
November,5.10,3.43,0.88,3.79,0.72,0.35,2.69,1.92,2.31,4.19,,
December,1.63,2.24,0.64,2.00,1.85,2.92,1.66,2.94,3.68,2.63,,
Total,33.31,23.92,20.09,27.14,21.09,26.76,22.19,30.94,19.23,31.91,,
Calc annual,33.31,23.92,20.09,27.14,21.09,26.76,22.19,30.94,19.23,31.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
