"HORNSEY HIGH STREET",,,,,,,,,,,,
Grid ref,TQ307893,Long,-0.114823,Lat,51.587404,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.71,0.50,0.85,1.88,2.60,1.30,4.41,1.06,2.10,0.74,,
February,2.91,0.94,1.17,0.74,2.90,0.89,2.11,1.26,1.70,0.48,,
March,0.63,1.88,1.74,2.28,1.84,3.49,1.01,1.07,2.56,2.86,,
April,0.81,2.06,0.45,2.02,1.02,2.03,0.63,3.22,2.45,1.99,,
May,0.85,0.96,2.44,2.43,1.90,0.81,1.43,1.69,1.70,1.75,,
June,1.85,1.05,2.96,5.91,0.66,3.55,3.42,2.21,1.05,3.77,,
July,1.29,3.71,1.06,4.32,1.85,0.48,0.36,3.85,3.68,3.22,,
August,2.57,1.59,4.82,4.02,1.95,2.69,0.74,1.84,2.71,1.64,,
September,0.92,1.53,1.02,2.65,1.43,1.92,2.00,0.72,1.24,2.69,,
October,1.76,2.01,1.42,6.01,1.53,1.68,3.49,2.83,2.03,3.66,,
November,1.90,0.57,1.56,1.87,1.98,2.96,4.26,2.59,0.74,0.86,,
December,2.67,2.99,1.50,1.57,1.96,0.86,2.36,3.94,1.68,2.88,,
Total,20.87,19.79,20.99,35.70,21.62,22.66,26.22,26.28,23.64,26.54,,
Calc annual,20.87,19.79,20.99,35.70,21.62,22.66,26.22,26.28,23.64,26.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
