"AITNACH",,,,,,,,,,,,
Grid ref,NO413918,Long,-2.968260,Lat,57.013586,,,,,,,
Station no,5627,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.76,3.40,1.38,4.14,2.89,5.12,4.45,,,,,
February,7.29,2.39,1.99,4.97,4.50,2.43,3.92,,,,,
March,3.84,4.17,0.49,2.31,2.75,2.53,2.62,,,,,
April,4.33,1.74,4.45,1.50,0.60,2.34,1.67,,,,,
May,1.88,3.33,2.94,6.47,3.65,0.91,3.53,,,,,
June,1.67,2.82,2.79,1.80,0.88,4.02,2.57,,,,,
July,4.35,2.39,3.33,4.53,1.06,6.10,7.89,,,,,
August,5.77,4.07,2.22,3.96,0.44,6.10,5.20,,,,,
September,2.76,2.44,4.65,2.55,1.74,5.04,2.86,,,,,
October,1.31,6.70,3.25,5.44,3.83,3.10,1.20,,,,,
November,14.32,4.23,3.62,12.28,3.01,1.93,3.98,,,,,
December,4.67,4.25,4.35,5.19,8.13,8.40,4.34,,,,,
Total,56.95,41.93,35.46,55.14,33.48,48.02,44.23,,,,,
Calc annual,56.95,41.93,35.46,55.14,33.48,48.02,44.23,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,,
