SOUTHBOROUGH-TENTERGARTH,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ574430,Long,0.24978762,Lat,51.164596,Elevation,421,ft,,,,,,,,,,,,,
Station no,336,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3,2.84,4.19,,3.49,1.88,3.81,1.66,,,,,,,
February,,,,,,,2.67,4.95,2.24,,2.05,2.22,0.46,2.18,,,,,,,
March,,,,,,,0.47,4.59,1.9,0.07,1.07,1.11,2.2,2.88,,,,,,,
April,,,,,,,4.55,1.88,2.96,0.88,1.65,,2.85,0.71,,,,,,,
May,,,,,,,1.6,1.1,1.45,1.91,3.02,,3.21,2.09,,,,,,,
June,,,,,,,3.49,3.52,2.59,1.21,1.15,1.21,,1.39,,,,,,,
July,,,,,,,1.3,4.65,1.9,1.18,2.34,2.41,,1.94,,,,,,,
August,,,,,,,1.18,5.73,3.48,,3.15,4.03,0.67,1.06,,,,,,,
September,,,,,,,0.76,5.05,0.53,,3.55,2.25,2.05,2.69,,,,,,,
October,,,,,,,2.36,2.25,6.45,,1.27,0.66,6.35,2.13,,,,,,,
November,,,,,,,8.12,3.09,4.41,,5.72,4.54,0.97,1,,,,,,,
December,,,,,,,0.77,4.28,3.98,7.86,2.69,0.95,0.67,0.94,,,,,,,
Total,,,,,,,30.27,43.93,36.08,,31.15,,,20.67,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Jan Feb Aug-Nov estimated,,,,,,,,,,,,,,,,,,,,,
1931 Apr May estimated,,,,,,,,,,,,,,,,,,,,,
1932 Jun Jul estimated,,,,,,,,,,,,,,,,,,,,,
