BURNLEY WW SWINDEN LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD886334,Long,-2.174549,Lat,53.79678,Elevation,745,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,3.19,1.17,4.77,6.5,5.6,6,1.57,7,6.85,0.65,0.62,0.43,4.58,6.98,6.12,2.74,7.34,3.25,2.26,2.04,6.17,2.99,4.25,1.53,4.87,4.33,2.05,2.07,3.66,7.16,5.96,3.02,4,4.73,4.59,2.09,6.82,2.23,3.9,2.6,5.7,2.48,5.61,5.49,4.19,6.89,4.42,3.28,3.36,6.12,5.33,8.63,4.82,5.37,3.64,4.73,6,4.81,11.23,2.68,7.42,6.96,5.84,3.73,4.62,2.3,4.75,3.69,5.7,5.99,2.65,1.64,5.63,7.05,7.07,4.62,5.57,4.68,10.2,3.1,4,4.51,5.47,1.78,4.73,2.49,5.82,4.19,4.83,3.2,5.87,,,,,,,,
February,0.78,2.26,3.16,1.06,2.22,1.17,4.84,4.6,1.75,2.81,3,5.86,3.74,4.91,4.48,5.07,0.81,1.3,1.19,2.47,0.96,0.61,3.75,5.12,5.53,0.65,2.38,3.65,3.62,2.31,4.78,2.26,1.65,4.89,5.4,2.53,3.35,2.75,3.01,3.05,5.5,5.03,2.17,2.37,4.06,7.14,5.63,1,6.09,1.9,3.82,0.64,4.95,7.56,1.51,8.11,4.26,2.58,6.04,1.04,0.85,5.53,0.43,4.28,0.58,6.62,3.04,5.56,1.97,4.64,1.75,7.04,2.17,3.32,2.54,5.47,6.65,2.45,3.4,3.84,6,4.12,1.62,2.13,3.67,2.62,1.57,4.1,6.92,0.59,3.92,,,,,,,,
March,1.7,0.99,3.92,3.38,5.95,1.12,4.15,3.73,2.9,2.21,2.2,6.38,4.5,1.64,3.69,3.75,3.67,2.18,3.55,3.63,3.85,2.56,1.62,1.17,3.76,4.02,5.45,5.85,2.59,2.81,1.07,3.52,2.97,6.83,2.86,3.58,3.24,3.48,3.91,3.45,1.33,2.16,5.6,6.48,5.22,2.28,4.1,3.49,2,6.75,4.55,3.96,3.56,2.17,1.48,1.96,2.52,4.52,4.55,1.24,3.27,0.53,3.04,2.66,3.44,1.7,2.13,2.02,2.01,2.99,2.91,4.47,4.3,1.21,0.79,1.76,1.57,9.13,2.68,2.2,2.8,4.79,1.95,2.11,3.55,2.85,1.94,4.01,2.03,2.17,1.64,,,,,,,,
April,1.33,2.25,4.29,0.77,2.25,1.85,2.83,2.8,1.9,1.79,1.61,1.66,6.49,2.7,2.21,3.11,3.56,1.53,2.47,3.15,1.26,3.02,1.34,0.88,2.63,3.22,2.41,3.13,2.91,3.99,2.43,3.13,2.74,2.48,2.85,3.48,1.39,2.44,2.91,3.65,3.96,2.52,1.25,6.1,1.59,2.4,3.33,2.09,1.29,2.57,6.65,1.95,4.32,4.32,2.47,3.84,2.3,3.53,1.46,1.44,4.09,4.2,3.97,1.98,3.39,3.14,1.29,3.19,0.88,2.07,3.56,2.53,2.06,2.43,2.81,2.57,1.26,5.17,2.73,4.2,3.3,2.74,3.37,3.99,0.72,2.36,4.01,0.33,1.32,3.62,3.36,,,,,,,,
May,1.54,1.3,2.95,2.25,2.73,3.35,0.59,3.67,4.28,2.28,2.53,3.48,2.02,1.25,1.98,2.89,5.23,2.45,1.44,2.8,2.67,3.64,5.27,2.84,2.53,0.81,0.83,2.39,3.52,3.1,2.34,1.6,3.28,3.16,3.18,0.94,3.89,3.93,2.91,2.43,2.83,3.25,2.72,4.34,2.27,1.76,3.11,2.37,2.42,2,5.81,2.8,2.12,4.08,5.2,4.62,4.17,1.57,1.74,3.17,2.94,2.89,4.69,2.78,3.72,1.36,1.37,2.29,3.99,1.63,1.04,2.26,3.36,3.12,3.31,4.63,1.89,2.56,1.36,2.85,2.3,2.76,2.09,2.38,3.72,4.42,1.93,1.69,5.35,2.04,2.1,,,,,,,,
June,3.62,2.38,6.6,1.17,1.13,4.1,4.28,2.8,2.85,4.1,3.09,2.62,5.79,4.86,0.81,3.79,2.57,0.47,3.03,0.88,4.33,1.48,4.53,3.66,3.51,3.01,2.88,4.18,3.39,1.53,4.52,1.58,1.53,2.14,1.24,3.01,1.57,6.16,2.08,2.92,2.73,5.37,6.75,2.46,2.38,0.85,2.89,2.48,2.48,1.77,2.39,0.32,3.12,1.33,3.2,0.13,3.72,3.99,7.02,1.77,2.25,6.47,1.19,1.89,2.52,4.45,4.35,1.95,4.37,3.35,0.89,0.43,1.47,3.48,3.96,4.36,3.12,3.13,5.21,0.68,3,1.61,3.08,3.25,2.63,3.08,2.98,2.11,5.26,3.47,1.16,,,,,,,,
July,1.31,2.83,3.4,5.85,3.3,6.1,4.73,5.63,1.78,5.46,4.07,5.59,6.75,3.7,5.74,1.91,4.03,2.82,5.48,3.68,3.2,4.11,1.92,4.73,4.67,5.85,2.25,1.99,1.14,2.73,3.97,1.93,3.61,4.12,2.52,2.24,2.2,2.51,4.89,6.21,4.03,0.47,5.34,1.56,3.91,5.14,3.02,1.82,3.21,2.57,6.95,2.35,5.24,5.67,4.24,1.96,2.75,4.54,1.91,2.78,5.92,4.37,4.62,3.41,2.65,1.83,4.47,1.84,4.88,6.96,4.79,2,5.18,3.03,3.1,2.77,3.8,3.82,1.98,2.22,5.5,4.17,3.06,5.85,5.08,1.52,4.75,5.4,3.47,2.9,7,,,,,,,,
August,0.58,1.35,4.05,5.44,6.65,2.58,4.38,6,5.3,5.1,1.83,5.66,3.85,2.83,1.84,1.97,1.97,1.73,3.84,6.02,6.25,8.6,5.27,4.95,5.31,4.95,2.43,6.5,4.83,1.57,5.6,2.64,2.93,5.01,5.02,5.22,3.99,4.37,4.44,3.25,6.56,2.5,7.33,2.6,3.09,4.75,4.21,8.62,3.66,3.78,2.13,6.1,6.49,6.52,6.05,4.5,4.61,6.83,6.77,4.02,7.83,4.98,1.37,1.62,4.6,1.79,2.97,2.03,5.5,3.07,2.37,5.47,3.67,6.5,3.8,3.84,7.4,0.23,4.17,4.14,6.9,5.18,5.12,6.06,8.38,1.28,12.49,6.31,4.41,0.97,6.42,,,,,,,,
September,0.96,1.5,6.75,2.75,4.75,5,4.5,4.78,5.75,2.38,4,2.24,2.73,7.13,2.83,5.35,3.67,5.66,1.07,3.12,3.14,3.74,3.93,5.25,0.27,1.96,7.56,5.1,1.53,7.28,1.56,1.5,1.62,5.92,1.59,2.91,1.39,0.88,4.42,2.51,0.51,3.76,2.45,1.53,3.23,0.97,2.25,2.57,10.91,2.08,2.82,2.16,4.37,6.6,5.55,3.87,3.69,6.41,1.12,1.75,4.16,4.62,6.42,2.78,4.47,7.58,4.42,2.19,1.88,1.5,3.9,0.67,2.92,4.57,6.79,2.86,8.08,3.13,3.05,1.21,7.67,2.7,4.26,4.75,5.58,3.29,4.3,6.14,5.5,0.26,2.98,,,,,,,,
October,7.08,3.06,5.88,8.11,6.1,4.55,2.91,5.55,5.1,1.37,4.77,4.04,4.41,5.3,3,7.95,6.18,3.04,2.21,5.45,3.1,5.71,7.05,4.44,5.2,4.96,5.27,2.08,5.26,3.31,5.5,3.82,4.7,10.88,1.79,3.79,7.1,5.71,1.83,5.09,3.77,4.06,4.78,2.24,2.85,1.7,9.91,7.72,4.03,3.13,3.04,3.21,1.62,6.13,4.82,6.28,3.58,5.06,6.49,6.4,7.17,2.84,6.91,4.78,5.61,9.49,4.54,2.36,9.88,2.33,4.63,5.09,7.83,3.03,5,6.26,1.21,1.26,2.42,6,3,1.38,5.75,2.54,7.84,3.49,2.4,5.34,4.02,5.53,5.54,,,,,,,,
